nombre_carrera,fecha,categoria,url_base,paginas_leidas,n_masculino,n_femenino,n_desconocido,n_total,n_filas_unicas,n_filas_sin_codigo
V Carreira Popular “Benquerencia Terra Mar”,10 sept. 2017,ALEVIN (2006-2007),https://ccnorte.com/resultados/v-carreira-popular-benquerencia-terra-mar/alevin-2006-2007/1,1,9,7,0,16,16,0
I CTO. GALEGO DE AUGAS ABERTAS,16 sept. 2017,CATEGORÍAS MÁSTER,https://ccnorte.com/resultados/i-cto-galego-de-augas-abertas/categorias-master/1,3,40,15,0,55,55,0
V Carreira Popular “Benquerencia Terra Mar”,10 sept. 2017,INFANTIL (2004-2005),https://ccnorte.com/resultados/v-carreira-popular-benquerencia-terra-mar/infantil-2004-2005/1,1,3,6,0,9,9,0
V Carreira Popular “Benquerencia Terra Mar”,10 sept. 2017,CADETE (2002-2003),https://ccnorte.com/resultados/v-carreira-popular-benquerencia-terra-mar/cadete-2002-2003/1,1,3,5,0,8,8,0
IV Media Maratón Ribadeo – As Catedrais,16 sept. 2017,MEDIO MARATON,https://ccnorte.com/resultados/iv-media-maraton-ribadeo-as-catedrais/medio-maraton/1,26,560,79,0,639,639,0
II CARREIRA PEDESTRE DO CONCELLO DE MALPICA,10 sept. 2017,PROBA DE 5K (2003 E ANT.),https://ccnorte.com/resultados/ii-carreira-pedestre-do-concello-de-malpica/proba-de-5k-2003-e-ant/1,1,9,7,0,16,16,0
V Carreira Popular “Benquerencia Terra Mar”,10 sept. 2017,ABSOLUTA (2001 E ANTERIORES),https://ccnorte.com/resultados/v-carreira-popular-benquerencia-terra-mar/absoluta-2001-e-anteriores/1,5,82,27,0,109,109,0
II CARREIRA PEDESTRE DO CONCELLO DE MALPICA,10 sept. 2017,PROBA DE 10K (2001 E ANT.),https://ccnorte.com/resultados/ii-carreira-pedestre-do-concello-de-malpica/proba-de-10k-2001-e-ant/1,4,73,15,0,88,88,0
VIII TRAVESÍA SISARGAS - MALPICA,10 sept. 2017,TRAVESIA (2001 E ANTERIORES),https://ccnorte.com/resultados/viii-travesia-sisargas-malpica/travesia-2001-e-anteriores/1,5,107,8,0,115,115,0
II CARREIRA PEDESTRE DO CONCELLO DE MALPICA,10 sept. 2017,INFANTIL (2004-2005) E ALEVIN (2006-2007),https://ccnorte.com/resultados/ii-carreira-pedestre-do-concello-de-malpica/infantil-2004-2005-e-alevin-2006-2007/1,1,5,3,0,8,8,0
II CARREIRA PEDESTRE DO CONCELLO DE MALPICA,10 sept. 2017,BENXAMIN (2008 A 2011),https://ccnorte.com/resultados/ii-carreira-pedestre-do-concello-de-malpica/benxamin-2008-a-2011/1,1,10,8,0,18,18,0
XXXIII CARREIRA POPULAR CONCELLO DE MEAÑO,10 sept. 2017,CURTO (2010-2012),https://ccnorte.com/resultados/xxxiii-carreira-popular-concello-de-meano/curto-2010-2012/1,2,31,14,0,45,45,0
XXXIII CARREIRA POPULAR CONCELLO DE MEAÑO,10 sept. 2017,MEDIANO (2004-2009),https://ccnorte.com/resultados/xxxiii-carreira-popular-concello-de-meano/mediano-2004-2009/1,4,38,39,0,77,77,0
XXIX MEDIA MARATON DE VALLADOLID & 5ª LEGUA POPULAR DE VALLADOLID,24 sept. 2017,MEDIO MARATON (MAYORES DE 18 AÑOS),https://ccnorte.com/resultados/xxix-media-maraton-de-valladolid-5-legua-popular-de-valladolid/medio-maraton-mayores-de-18-anos/1,60,1309,182,0,1491,1491,0
1ª Carrera Nocturna Gijón 10K,23 sept. 2017,NOCTURNA GIJON,https://ccnorte.com/resultados/1-carrera-nocturna-gijon-10k/nocturna-gijon/1,53,992,321,0,1313,1313,0
XXVIII CROSS SUBIDA A LA CAMPA DE TORRES,10 sept. 2017,12KM (1999 Y ANTERIORES),https://ccnorte.com/resultados/xxviii-cross-subida-a-la-campa-de-torres/12km-1999-y-anteriores/1,11,224,37,0,261,260,0
XXXIII CARREIRA POPULAR CONCELLO DE MEAÑO,10 sept. 2017,LONGO (2003 E ANTERIORES),https://ccnorte.com/resultados/xxxiii-carreira-popular-concello-de-meano/longo-2003-e-anteriores/1,12,242,43,0,285,285,0
VI Carrera Popular Volta a Oza,10 sept. 2017,Cadete e Xuvenil,https://ccnorte.com/resultados/vi-carrera-popular-volta-a-oza/cadete-e-xuvenil/1,1,14,11,0,25,25,0
VI Carrera Popular Volta a Oza,10 sept. 2017,Infantil,https://ccnorte.com/resultados/vi-carrera-popular-volta-a-oza/infantil/1,1,6,2,0,8,8,0
VI Carrera Popular Volta a Oza,10 sept. 2017,Alevins,https://ccnorte.com/resultados/vi-carrera-popular-volta-a-oza/alevins/1,1,12,9,0,21,21,0
VI Carrera Popular Volta a Oza,10 sept. 2017,Benxamins,https://ccnorte.com/resultados/vi-carrera-popular-volta-a-oza/benxamins/1,2,23,15,0,38,38,0
I Marcha Cicloturista Concello de Lourenzá,10 sept. 2017,Cronoescalada á Cadeira por Tovar,https://ccnorte.com/resultados/i-marcha-cicloturista-concello-de-lourenza/cronoescalada-a-cadeira-por-tovar/1,3,58,1,0,59,59,0
II TRAIL dos PENDELLOS (AGOLADA),10 sept. 2017,"TRAIL INDIVIDUAL: 34,5 km aprox. 2.000 metros de desnivel acumulado",https://ccnorte.com/resultados/ii-trail-dos-pendellos-agolada/trail-individual-34-5-km-aprox-2000-metros-de-desnivel-acumulado/1,2,28,2,0,30,30,0
II TRAIL dos PENDELLOS (AGOLADA),10 sept. 2017,TRAIL POR RELEVOS,https://ccnorte.com/resultados/ii-trail-dos-pendellos-agolada/trail-por-relevos/1,1,21,2,0,23,23,0
II TRAIL Y ANDAINA DE CELANOVA,10 sept. 2017,RELEVOS DE PAREJAS (MAYORES DE 18 AÑOS),https://ccnorte.com/resultados/ii-trail-y-andaina-de-celanova/relevos-de-parejas-mayores-de-18-anos/1,2,32,4,0,36,36,0
XIII CARREIRA POPULAR NOCTURNA DE XINZO DE LIMIA,09 sept. 2017,BENXAMÍN (2008 E 2009) E ALEVÍN (2006 E 2007),https://ccnorte.com/resultados/xiii-carreira-popular-nocturna-de-xinzo-de-limia/benxamin-2008-e-2009-e-alevin-2006-e-2007/1,1,10,11,0,21,21,0
XIII CARREIRA POPULAR NOCTURNA DE XINZO DE LIMIA,09 sept. 2017,INFANTIL (2004 E 2005) E CADETE (2002 E 2003),https://ccnorte.com/resultados/xiii-carreira-popular-nocturna-de-xinzo-de-limia/infantil-2004-e-2005-e-cadete-2002-e-2003/1,1,10,5,0,15,15,0
VIII 10 KMS XORNADAS MARISQUEIRAS DO BERBES,10 sept. 2017,DISTANCIA DE 10 KM,https://ccnorte.com/resultados/viii-10-kms-xornadas-marisqueiras-do-berbes/distancia-de-10-km/1,20,405,85,0,490,489,0
I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ARTEIXO,09 sept. 2017,KIDS,https://ccnorte.com/resultados/i-circuito-de-travesias-de-obstaculos-enkipro-arteixo/travesia-ninos/1,1,8,11,0,19,19,0
II TRAIL Y ANDAINA DE CELANOVA,10 sept. 2017,TRAIL (MAYORES DE 18 AÑOS),https://ccnorte.com/resultados/ii-trail-y-andaina-de-celanova/trail-mayores-de-18-anos/1,7,122,36,0,158,158,0
VIII 10 KMS XORNADAS MARISQUEIRAS DO BERBES,10 sept. 2017,ABSOLUTA (RUNRUNVIGO),https://ccnorte.com/resultados/viii-10-kms-xornadas-marisqueiras-do-berbes/absoluta-runrunvigo/1,20,400,84,0,484,483,0
I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ARTEIXO,09 sept. 2017,TRAVESIA PRO (GORRO ROJO),https://ccnorte.com/resultados/i-circuito-de-travesias-de-obstaculos-enkipro-arteixo/travesia-pro-gorro-blanco/1,1,10,3,0,13,13,0
I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ARTEIXO,09 sept. 2017,TRAVESIA PRO CORTA (GORRO BLANCO),https://ccnorte.com/resultados/i-circuito-de-travesias-de-obstaculos-enkipro-arteixo/travesia-pro-corta-gorro-azul/1,2,15,14,0,29,29,0
XIII CARREIRA POPULAR NOCTURNA DE XINZO DE LIMIA,09 sept. 2017,CARREIRA ABSOLUTA (2001 E ANOS ANTERIORES),https://ccnorte.com/resultados/xiii-carreira-popular-nocturna-de-xinzo-de-limia/carreira-absoluta-2001-e-anos-anteriores/1,5,92,28,0,120,120,0
VIII 10 KMS XORNADAS MARISQUEIRAS DO BERBES,10 sept. 2017,ABSOLUTA (RUNRUNVIGO) [Compensada],https://ccnorte.com/resultados/compensados/viii-10-kms-xornadas-marisqueiras-do-berbes/absoluta-runrunvigo/1,20,400,84,0,484,479,0
VI Carrera Popular Volta a Oza,10 sept. 2017,Adultos,https://ccnorte.com/resultados/vi-carrera-popular-volta-a-oza/adultos/1,19,360,112,0,472,470,0
CARREIRA DA ZONA UNIVERSITARIA (CxOU 2017),03 sept. 2017,INFANTIL (2004 / 2005) E CADETE (2002 / 2003),https://ccnorte.com/resultados/carreira-da-zona-universitaria-cxou-2017/infantil-2004-2005-e-cadete-2002-2003/1,1,14,4,0,18,18,0
