nombre_carrera,fecha,categoria,n_masculino,n_femenino,n_desconocido,n_total,categoria_genero
"III CARRERA DEL AGUA UNICEF SADA, ADULTOS",2013-10-13,ADULTOS. DISTANCIA: 10000 M,0,0,0,0,mixto
"III CARRERA DEL AGUA UNICEF SADA, CADETES Y JUNIOR",2013-10-13,CADETES Y JUNIOR. DISTANCIA: 2800 M,0,0,0,0,mixto
III CARRERA DONA VIDA,2016-06-12,ABSOLUTA (7.500m),490,233,0,723,mixto
III CARRERA HUCA 'MUÉVETE POR LA SALUD' 3K CarrerHUCA 'Corre o Camina' y 10K HUCA,2017-09-24,10K HUCA,388,101,0,489,mixto
III CARRERA HUCA 'MUÉVETE POR LA SALUD' 3K CarrerHUCA 'Corre o Camina' y 10K HUCA,2017-09-24,HANDBIKE,2,0,0,2,mixto
III CARRERA NOCTURNA COFC 5K,2022-07-09,ABSOLUTA (Mayores de 12 años),88,37,0,125,mixto
"III CARRERA POPULAR ""RUTA DE LA CONSTRUCCION NAVAL""",2015-06-28,ABSOLUTA (1999 E ANTERIORES),420,89,0,509,mixto
III CARRERA POPULAR - CULTIVANDO DEPORTE,2018-09-08,CARRERA POPULAR,140,84,0,224,mixto
III CARRERA POPULAR ANA AMELIA MENENDEZ 2010,2010-01-17,ABSOLUTA. DISTANCIA: 10000 M,0,0,0,0,mixto
III CARRERA POPULAR CENTRO “RICARDO BARÓ” ASPRONAGA,2016-11-20,ABSOLUTA (1999 E ANTERIORES),112,58,0,170,mixto
III CARRERA POPULAR DE LOS ROSALES,2014-10-19,ADULTOS (NACIDOS EN 1997 Y ANTERIORES),789,239,0,1028,mixto
III CARRERA POPULAR DE LOS ROSALES,2014-10-19,ALEVÍN (NACIDOS EN 2004 y 2005),78,69,0,147,mixto
III CARRERA POPULAR DE LOS ROSALES,2014-10-19,BENJAMIN (NACIDOS EN 2006 Y 2007),89,67,0,156,mixto
III CARRERA POPULAR DE LOS ROSALES,2014-10-19,CADETES (NACIDOS EN 2000 y 2001),29,27,0,56,mixto
III CARRERA POPULAR DE LOS ROSALES,2014-10-19,INFANTILES (NACIDOS EN 2002 Y 2003),58,47,0,105,mixto
III CARRERA POPULAR DE LOS ROSALES,2014-10-19,JUVENILES (NACIDOS EN 1998 Y 1999),32,37,0,69,mixto
III CARRERA POPULAR DE MONTAÑA CLUB FLUVIAL LUGO,2017-10-01,TRAIL 16KM,112,18,0,130,mixto
III CARRERA POPULAR MATOGRANDE,2018-01-14,ABSOLUTA,637,208,0,845,mixto
III CARRERA POPULAR MATOGRANDE,2018-01-14,PRE-BENXAMÍN (No competitiva),0,0,0,0,mixto
III CARRERA POPULAR MATOGRANDE,2018-01-14,SUB10,38,23,0,61,mixto
III CARRERA POPULAR MATOGRANDE,2018-01-14,SUB12,49,42,0,91,mixto
III CARRERA POPULAR MATOGRANDE,2018-01-14,SUB14,30,52,0,82,mixto
III CARRERA POPULAR MATOGRANDE,2018-01-14,SUB16 y SUB18,54,90,0,144,mixto
III CARRERA POPULAR VENTORRILLO,2015-07-12,ADULTOS (NACIDOS EN 1997 Y ANTERIORES),500,138,0,638,mixto
III CARRERA POPULAR VENTORRILLO,2015-07-12,ALEVÍN (NACIDOS EN 2004 y 2005),16,17,0,33,mixto
III CARRERA POPULAR VENTORRILLO,2015-07-12,BENJAMIN (NACIDOS EN 2006 Y 2007),18,13,0,31,mixto
III CARRERA POPULAR VENTORRILLO,2015-07-12,INFANTILES (NACIDOS EN 2002 Y 2003),12,9,0,21,mixto
III CARRERA POPULAR VENTORRILLO,2015-07-12,JUVENIL-CADETE (NACIDOS ENTRE 1998 Y 2001),22,13,0,35,mixto
III CARRERA POPULAR VILLA DE SARRIA 10 KM,2015-06-14,ABSOLUTA 10KM,130,16,0,146,mixto
III CARRERA POPULAR VOLTA A OZA ADULTOS,2014-08-10,PRUEBA ABSOLUTA. DISTANCIA: 7575 M,0,0,0,0,mixto
III CARRERA POPULAR VOLTA A OZA BENXAMIN_ALEVIN,2014-08-10,ALEVIN . DISTANCIA: 810 M,0,0,0,0,mixto
III CARRERA POPULAR VOLTA A OZA BENXAMIN_ALEVIN,2014-08-10,BENJAMIN . DISTANCIA: 810 M,0,0,0,0,mixto
III CARRERA POPULAR VOLTA A OZA CADETE_XUVENIL,2014-08-10,2430 M,0,0,0,0,mixto
III CARRERA POPULAR VOLTA A OZA INFANTIL,2014-08-10,1620 M,0,0,0,0,mixto
III CARRERA SOLIDARIA CPR CERVANTES LUGO,2013-05-17,Carrera,180,0,0,180,mixto
III CASTRO TRAIL (Barbadás),2018-05-06,TRAIL CORTO (15 km),70,28,0,98,mixto
