nombre_carrera,candidato_lugar,ubicacion,lat,lon
GLADIATOR RACE ASTURIAS 2019,ASTURIAS,"Asturias / Asturies, España",43.3133868,-5.94192
GLADIATOR RACE PONTEVEDRA,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
GLADIATOR RACE PONTEVEDRA 2018,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
GLADIATOR RACE PONTEVEDRA 2019,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
GLADIATOR RACE PONTEVEDRA 2023,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
GLADIATOR RACE PONTEVEDRA 2024,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
GLADIATOR RACE PONTEVEDRA 2025,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
GLADIATOR RACE VIA NOVA,VIA NOVA,"Via Nova, O Mato, San Paio, Mones, Petín, Valdeorras, Ourense, Galicia, 32357, España",42.3823746,-7.0836562
GLADIATOR ROCKET ASTURIAS,ROCKET ASTURIAS,"Rocket, Calle Oscura, Trascorrales, Antiguo, Oviedo / Uviéu, Oviedo, Asturias / Asturies, 33009, España",43.3595219,-5.8430623
GLADIATOR ROCKET ASTURIAS 2017,ROCKET ASTURIAS,"Rocket, Calle Oscura, Trascorrales, Antiguo, Oviedo / Uviéu, Oviedo, Asturias / Asturies, 33009, España",43.3595219,-5.8430623
GLADIATOR ROCKET PONTEVEDRA,ROCKET PONTEVEDRA,,,
GLADIATOR ROCKET PONTEVEDRA 2017,ROCKET PONTEVEDRA,,,
GLADIATOR WARRIOR ASTURIAS,ASTURIAS,"Asturias / Asturies, España",43.3133868,-5.94192
