nombre_carrera,candidato_lugar,ubicacion,lat,lon
LVI TRAVESÍA A NADO AO PORTO DE VILAXOÁN (VILAGARCÍA DE AROUSA),AROUSA),"Arousa, 14,16,18, Rúa de Curros Enríquez, A Rosaleda, O Ensanche, Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España",42.875123,-8.5411348
LVII DESCENSO A NADO DE LA RIA DE NAVIA. 1100 METROS,NAVIA. 1100 METROS,,,
LVII DESCENSO A NADO DE LA RIA DE NAVIA. 1700 METROS,NAVIA. 1700 METROS,,,
LVII DESCENSO A NADO DE LA RIA DE NAVIA. 3000 METROS,NAVIA. 3000 METROS,,,
LVII DESCENSO A NADO DE LA RIA DE NAVIA. 5000 METROS,NAVIA. 5000 METROS,,,
LVIII DESCENSO A NADO DE LA RIA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
LX DESCENSO A NADO DE LA RIA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
LXI Descenso a Nado de la Ría de Navia/ 8ª Etapa Copa España Aguas Abiertas,Navia/ 8ª Etapa España Aguas Abiertas,,,
LXII Descenso a Nado de la Ría de Navia/ Circuito de Aguas Abiertas FDNA,Aguas Abiertas FDNA,,,
LXIII DESCENSO A NADO DE LA RÍA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
LXIV DESCENSO A NADO DE LA RIA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
LXV DESCENSO A NADO DE LA RIA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
LXVI DESCENSO A NADO DE LA RIA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
LXVII DESCENSO A NADO DE LA RIA DE NAVIA,NAVIA,"Navia, Asturias / Asturies, España",43.5275049,-6.6755155
LXXIX TRAVESIA A NADO ENSENADA DE SAN AMARO,SAN AMARO,"San Amaro, O Carballiño, Ourense, Galicia, España",42.3675219,-8.0610053
LXXV TRAVESIA A NADO ENSENADA DE SAN AMARO,SAN AMARO,"San Amaro, O Carballiño, Ourense, Galicia, España",42.3675219,-8.0610053
MARALBA Running Fest014,MARALBA Fest014,,,
MARATON DO NORTE,NORTE,"Norte, Granada, Comarca de la Vega de Granada, Granada, Andalucía, 18011, España",37.2047297,-3.5903156
MARATON DO NORTE 2016,NORTE,"Norte, Granada, Comarca de la Vega de Granada, Granada, Andalucía, 18011, España",37.2047297,-3.5903156
MARATÓN PATINAJE DE VELOCIDAD SCD RABADEIRA,VELOCIDAD SCD RABADEIRA,,,
MARATÓN XTREM LAGOS K42. Distancia: 42 Km,XTREM LAGOS K42. Distancia: 42 Km,,,
MARATÓN Y XX MEDIO MARATÓN GRAN BAHÍA VIG-BAY edp,Y XX BAHÍA VIG-BAY edp,,,
MARCHA CICLOTURISTA BTT MINERA,MARCHA CICLOTURISTA MINERA,,,
MARGINAL A NOITE,MARGINAL A NOITE,,,
MEDIA MARATHON RIBADEO - AS CATEDRAIS 2014,MEDIA MARATHON RIBADEO - AS CATEDRAIS,,,
MEDIA MARATON DE A RÚA (V D3SAFÍO42 OURENSE),A RÚA,"A Rúa, Valdeorras, Ourense, Galicia, España",42.4165046,-7.1209394
MEDIA MARATON DE ANCARES (EN RUTA),RUTA),"Ruta, San Juan, Zubiaur, Orozko, Bizkaia, Euskadi, 48410, España",43.1065097,-2.9143483
MEDIA MARATON DE VIGO-LOS 10K ALEJANDRO GOMEZ,VIGO-LOS 10K ALEJANDRO GOMEZ,,,
"MEDIA MARATON PALAS - MELIDE ""OS 21 DO CAMIÑO""","CAMIÑO""","Camiño, Orro, Culleredo, A Coruña, Galicia, 15199, España",43.2950883,-8.4193335
"MEDIA MARATON PALAS - MELIDE ""OS 21 DO CAMIÑO"" 2016","CAMIÑO""","Camiño, Orro, Culleredo, A Coruña, Galicia, 15199, España",43.2950883,-8.4193335
"MEDIA MARATON PALAS - MELIDE ""OS 21 DO CAMIÑO"" 2017","CAMIÑO""","Camiño, Orro, Culleredo, A Coruña, Galicia, 15199, España",43.2950883,-8.4193335
"MEDIA MARATON PALAS - MELIDE ""OS 21 DO CAMIÑO"" 2018","CAMIÑO""","Camiño, Orro, Culleredo, A Coruña, Galicia, 15199, España",43.2950883,-8.4193335
MEDIA MARATON PALAS-MELIDE 'OS 21 DO CAMIÑO' 2013,CAMIÑO',"Camiño, Orro, Culleredo, A Coruña, Galicia, 15199, España",43.2950883,-8.4193335
MEDIA MARATÓN CARBALLIÑO 2018,MEDIA CARBALLIÑO,,,
MEDIA MARATÓN XTREM LAGOS K21. Distancia: 21 Km,MEDIA XTREM LAGOS K21. Distancia: 21 Km,,,
MEDIO MARATON DE PONTEVEDRA 2004,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2005,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2006,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2007,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2009,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2010,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2011,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2012,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2013,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEDIO MARATON DE PONTEVEDRA 2014,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
MEMORIAL EULOGIO GONZALEZ PEREZ - LAVADORES ADULTOS,EULOGIO GONZALEZ PEREZ - LAVADORES ADULTOS,,,
MEMORIAL EULOGIO GONZALEZ PEREZ - LAVADORES MENORES,EULOGIO GONZALEZ PEREZ - LAVADORES MENORES,,,
MILLA SAN ROQUE SADA,SAN ROQUE SADA,"Capela de San Roque, 15, Praza de España, Cantalarrana, Sada de Arriba, Sada, A Coruña, Galicia, 15160, España",43.3506333,-8.2540538
MILLA URBANA SARRIA 2013,URBANA SARRIA,"Nova comissaria de la Guàrdia Urbana de Sarrià - Sant Gervasi, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, España",41.4004891,2.1146627
MILLA URBANA SARRIA 2014,URBANA SARRIA,"Nova comissaria de la Guàrdia Urbana de Sarrià - Sant Gervasi, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, España",41.4004891,2.1146627
MILLA URBANA SARRIA 2015,URBANA SARRIA,"Nova comissaria de la Guàrdia Urbana de Sarrià - Sant Gervasi, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, España",41.4004891,2.1146627
MILLA URBANA SARRIA 2016,URBANA SARRIA,"Nova comissaria de la Guàrdia Urbana de Sarrià - Sant Gervasi, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, España",41.4004891,2.1146627
MILLA URBANA SARRIA 2017,URBANA SARRIA,"Nova comissaria de la Guàrdia Urbana de Sarrià - Sant Gervasi, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, España",41.4004891,2.1146627
MILLA URBANA SARRIA 2018,URBANA SARRIA,"Nova comissaria de la Guàrdia Urbana de Sarrià - Sant Gervasi, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, España",41.4004891,2.1146627
MILLA URBANA SARRIA 2019,URBANA SARRIA,"Nova comissaria de la Guàrdia Urbana de Sarrià - Sant Gervasi, Sarrià, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, España",41.4004891,2.1146627
MINI ATLÁNTICA CORUÑA42,MINI ATLÁNTICA CORUÑA42,,,
MINIUS 2016,MINIUS,,,
MINIUS 2017,MINIUS,,,
MINIUS 2018,MINIUS,,,
MINIUS 2019,MINIUS,,,
MONFORTE EN MARCHA CONTRA O CANCRO,MARCHA CONTRA O CANCRO,,,
MONFORTE EN MARCHA CONTRA O CANCRO 2024,MARCHA CONTRA O CANCRO,,,
Media maratón De Coles 21k (IV D3SAFIO42),Coles 21k,"Coles, Vilarchao, Coles, Ourense, Galicia, España",42.4009806,-7.8331929
NALON BEASTS RACE (OBSTÁCULOS),NALON BEASTS,,,
NALON BEASTS RACE SAN JUAN DE LA ARENA 2018 (OBSTÁCULOS),LA ARENA,"L'Arena, Gijón / Xixón, Asturias / Asturies, España",43.5395763,-5.6525528
NALÓN BEASTS RACE SAN JUAN DE LA ARENA (OBSTÁCULOS),LA ARENA,"L'Arena, Gijón / Xixón, Asturias / Asturies, España",43.5395763,-5.6525528
NALÓN BEASTS RACE SAN JUAN DE LA ARENA 2017 (OBSTÁCULOS),LA ARENA,"L'Arena, Gijón / Xixón, Asturias / Asturies, España",43.5395763,-5.6525528
NOCTURNA CORRENDO POR VIGO MAIAQUEAUGA,CORRENDO POR VIGO MAIAQUEAUGA,,,
NOCTURNA DE NIGRÁN H2K PLAZA 2019,NIGRÁN H2K PLAZA,,,
NOCTURNA MONUMENTAL,MONUMENTAL,"Monumental, Avinguda Diagonal, el Fort Pienc, l'Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 08013, España",41.4019891,2.1808813
NOCTURNA MONUMENTAL ADULTOS,MONUMENTAL ADULTOS,,,
NOCTURNA MONUMENTAL MENORES,MONUMENTAL MENORES,,,
NOR3XTREM 2017,NOR3XTREM,,,
NORDIC WALKING MOUNTAIN FRIOL 2026,NORDIC WALKING MOUNTAIN FRIOL,,,
NORTHWEST TRIMAN 2014. INDIVIDUAL FEMENINA,NORTHWEST TRIMAN,,,
NORTHWEST TRIMAN 2014. INDIVIDUAL MASCULINA,NORTHWEST TRIMAN,,,
NORTHWEST TRIMAN 2015,NORTHWEST TRIMAN,,,
NORTHWEST TRIMAN 2016,NORTHWEST TRIMAN,,,
NORTHWEST TRIMAN 2017,NORTHWEST TRIMAN,,,
NORTHWEST TRIMAN 2018,NORTHWEST TRIMAN,,,
NORTHWEST TRIMAN 2019,NORTHWEST TRIMAN,,,
NORTHWEST TRIMAN 2021,NORTHWEST TRIMAN,,,
O CAMIÑO RACE 2023 (COPA OCRA GALICIA),O CAMIÑO,"O Camiño, Sedes, Narón, Ferrol, A Coruña, Galicia, 15596, España",43.5384163,-8.1554898
O CAMIÑO RACE 2024,O CAMIÑO,"O Camiño, Sedes, Narón, Ferrol, A Coruña, Galicia, 15596, España",43.5384163,-8.1554898
O TRAIL DO BRIGANTIA. TERRAS DE PONDAL,PONDAL,"Pondal, Llugo, Llanera, Asturias / Asturies, 33690, España",43.440423,-5.8240061
OCR ALLARIZ 2016 EXTREMA,OCR ALLARIZ,,,
OCR CIDADE DE NARON,NARON,"Narón, Ferrol, A Coruña, Galicia, España",43.5317883,-8.1565473
OCR NALON BEASTS SAN JUAN DE LA ARENA (OBSTÁCULOS),LA ARENA,"L'Arena, Gijón / Xixón, Asturias / Asturies, España",43.5395763,-5.6525528
OCR VILA DE ALLARIZ,ALLARIZ,"Allariz, Allariz-Maceda, Ourense, Galicia, España",42.1930557,-7.8045042
OCR VILA DE ALLARIZ 2017,ALLARIZ,"Allariz, Allariz-Maceda, Ourense, Galicia, España",42.1930557,-7.8045042
OPTIMILK PRO CROSS PONTE ROMANA 8.0 RELEVOS,OPTIMILK PRO PONTE ROMANA 8.0 RELEVOS,,,
OPTIMiLK CROSS PONTE ROMANA #7 EDICIÓN RELEVOS,OPTIMiLK PONTE ROMANA #7 RELEVOS,,,
"OS 21 DO CAMIÑO, MEDIA MARATON JIM SPORTS 2014","CAMIÑO, MEDIA JIM SPORTS",,,
"OS 21 DO CAMIÑO, MEDIA MARATON JIM SPORTS 2014. PROBA BENXAMIN E ALEVIN","CAMIÑO, MEDIA JIM SPORTS",,,
"OS 21 DO CAMIÑO, MEDIA MARATON JIM SPORTS 2014. PROBA INFANTIL CADETE E XUVENIL","CAMIÑO, MEDIA JIM SPORTS",,,
PASEO OMBREIRO,PASEO OMBREIRO,,,
POLICE CHALLENGE,POLICE CHALLENGE,,,
PONTEVEDRA NON STOP EQUIPOS,PONTEVEDRA NON STOP EQUIPOS,,,
PONTEVEDRA NON STOP INDIVIDUAL,PONTEVEDRA NON STOP INDIVIDUAL,,,
PONTEVEDRA NON-STOP 6-12 HORAS BTT,PONTEVEDRA NON-STOP 6-12 HORAS,,,
POSEIDON RACE CERCEDA,POSEIDON CERCEDA,,,
POSEIDON RACE CERCEDA 2023,POSEIDON CERCEDA,,,
POSEIDON RACE CERCEDA 2024,POSEIDON CERCEDA,,,
POSEIDON RACE CERCEDA 2025,POSEIDON CERCEDA,,,
POSEIDON RACE CERCEDA 2026,POSEIDON CERCEDA,,,
POWER RACE LEON 2018,POWER LEON,"LM Wind Power Blades, Ponferrada, El Bierzo, León, Castilla y León, España",42.572537,-6.5563498
POWERADE RACE ALTO DE VEIGA 2016 - ASTORGA,VEIGA,"Puerto de Vega, Navia, Asturias / Asturies, España",43.5635519,-6.6423986
POWERADE RACE BIKE DE LEON,LEON,"León, Castilla y León, España",42.6341451,-5.9714151
POWERADE RACE BIKE DE LEON 2016,LEON,"León, Castilla y León, España",42.6341451,-5.9714151
POWERADE RACE LEÓN 2017,POWERADE LEÓN,,,
"POWERADE RACE, ALTO VEIGA 2017",POWERADE ALTO VEIGA,,,
PRETORIAN RACE 2023,PRETORIAN,,,
PRETORIAN RACE 2024,PRETORIAN,,,
PRETORIAN RACE 2025,PRETORIAN,,,
PRETORIAN RACE 2026,PRETORIAN,,,
PRETORIAN RACE LUGO 2021,PRETORIAN LUGO,,,
PRETORIAN RACE LUGO 2022,PRETORIAN LUGO,,,
QUIROGA TRAIL CHALLENGE POWERADE (TRAIL CASTELO + TRAIL DO LOR),LOR),"Lor, Cascante, Ribera / Erribera, Navarra, Navarra / Nafarroa, 31520, España",41.9902505,-1.6592214
RECINTO FEIRAL,RECINTO FEIRAL,"Recinto Feiral, O Lugar do Marcelo, A Fonterrega, Sistallo, A Feira do Monte, Cospeito, Terra Chá, Lugo, Galicia, España",43.2351823,-7.5582371
RUTA BTTRAIA 2017,BTTRAIA,,,
Ruta BTT X Aniversario CC Terra Cha Vilalba,X Aniversario CC Terra Cha Vilalba,,,
SAMURAI XTREME RACE AS PONTES 2016,SAMURAI XTREME AS PONTES,,,
SAMURAI XTREME RACE AS PONTES 2017,SAMURAI XTREME AS PONTES,,,
SAMURAI XTREME RACE AS PONTES 2018,SAMURAI XTREME AS PONTES,,,
SAMURAI XTREME RACE AS PONTES 2019,SAMURAI XTREME AS PONTES,,,
SAMURAI XTREME RACE AS PONTES 2022,SAMURAI XTREME AS PONTES,,,
SAMURAI XTREME RACE AS PONTES 2023,SAMURAI XTREME AS PONTES,,,
SAN SILVESTRE - A CORUÑA 2010,SAN SILVESTRE - A CORUÑA,"San Silvestre, San Caetano, Santiago de Compostela, Santiago, A Coruña, Galicia, 15898, España",42.9264157,-8.5222558
SAN SILVESTRE CAMARIÑAS,SAN SILVESTRE CAMARIÑAS,,,
SAN SILVESTRE CANGAS DE ONIS 2013,ONIS,"Onís, Asturias / Asturies, 33556, España",43.2959886,-4.9714143
SAN SILVESTRE CERCEDENSE 2024,SAN SILVESTRE CERCEDENSE,,,
SAN SILVESTRE CORUÑA 2014,SAN SILVESTRE CORUÑA,"San Silvestre, San Caetano, Santiago de Compostela, Santiago, A Coruña, Galicia, 15890, España",42.9264157,-8.5222558
SAN SILVESTRE DE CANGAS DE ONIS,ONIS,"Onís, Asturias / Asturies, 33556, España",43.2959886,-4.9714143
SAN SILVESTRE DE SILLEDA 2024,SILLEDA,"Silleda, O Deza, Pontevedra, Galicia, España",42.6873638,-8.2697931
SAN SILVESTRE DE SILLEDA 2025,SILLEDA,"Silleda, O Deza, Pontevedra, Galicia, España",42.6873638,-8.2697931
SAN SILVESTRE FLUVIAL 2013,SAN SILVESTRE FLUVIAL,,,
SAN SILVESTRE POLA DE SIERO 2012,SIERO,"Siero, Asturias / Asturies, España",43.394024,-5.6349173
SAN SILVESTRE RIALTO A CORUÑA 2013,SAN SILVESTRE RIALTO A CORUÑA,,,
SAN SILVESTRE RIBADEO 2011 4938m,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2012 4938m,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2013,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2014 ADULTOS,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2014 MILLA,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2015,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2016,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2017,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2018,SAN SILVESTRE RIBADEO,,,
SAN SILVESTRE RIBADEO 2019,SAN SILVESTRE RIBADEO,,,
THE WILD RACE 2019,THE WILD,"The Wild Rover Irish Pub, 2, Carrer de Santa Mònica, el Raval, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08002, España",41.3775132,2.1755775
TOXIZA CLASSIC XTREME,TOXIZA CLASSIC XTREME,,,
TOXIZA CLASSIC XTREME 2016,TOXIZA CLASSIC XTREME,,,
TRAIL ADVENTURE MUIÑOS DO FOLÓN 2018,FOLÓN,"O Folón, Mosende, O Porriño, Vigo, Pontevedra, Galicia, 36475, España",42.1164614,-8.6509729
TRAIL ADVENTURE MUIÑOS DO FOLÓN 2019,FOLÓN,"O Folón, Mosende, O Porriño, Vigo, Pontevedra, Galicia, 36475, España",42.1164614,-8.6509729
TRAIL ADVENTURE MUIÑOS DO FOLÓN 2020,FOLÓN,"O Folón, Mosende, O Porriño, Vigo, Pontevedra, Galicia, 36475, España",42.1164614,-8.6509729
TRAIL ADVENTURE MUIÑOS DO FOLÓN 2021,FOLÓN,"O Folón, Mosende, O Porriño, Vigo, Pontevedra, Galicia, 36475, España",42.1164614,-8.6509729
TRAIL CUARTO DE LA RIERA (TINEO),LA RIERA,"La Riera, Somiedo, Asturias / Asturies, España",43.1518163,-6.2620121
TRAIL CURTO ARTEIXO (DESNIVEL DE 800 METROS POSITIVOS),800 METROS POSITIVOS),,,
TRAIL DE VILATUXE 2016,VILATUXE,"Vilatuxe, Lalín, O Deza, Pontevedra, Galicia, 36519, España",42.6053246,-8.1901037
TRAIL DE VILATUXE 2017,VILATUXE,"Vilatuxe, Lalín, O Deza, Pontevedra, Galicia, 36519, España",42.6053246,-8.1901037
TRAIL DESAFIO VIA ROMANA,DESAFIO VIA ROMANA,,,
TRAIL DO CASTELO (QUIROGA TRAIL CHALLENGE POWERADE),CASTELO,"Castelo, Gondomar, Vigo, Pontevedra, Galicia, 36360, España",42.1356214,-8.7577665
TRAIL DO LOR (QUIROGA TRAIL CHALLENGE POWERADE),LOR,"Lor, Cascante, Ribera / Erribera, Navarra, Navarra / Nafarroa, 31520, España",41.9902505,-1.6592214
TRAIL DO LOR (QUIROGA),LOR,"Lor, Cascante, Ribera / Erribera, Navarra, Navarra / Nafarroa, 31520, España",41.9902505,-1.6592214
TRAIL FRAGAS DO EUME 2017,EUME,"O Eume, A Coruña, Galicia, España",43.4232599,-7.9966276
TRAIL HEROICA SACRA 2022,HEROICA SACRA,,,
TRAIL LONGO ARTEIXO ( DESNIVEL DE 1800 METROS POSITIVOS)),1800 METROS POSITIVOS)),,,
TRAIL TERRAS DE PONDAL 2019,PONDAL,"Pondal, Llugo, Llanera, Asturias / Asturies, 33690, España",43.440423,-5.8240061
TRAIL TERRAS DO MANDEO,MANDEO,"Mandeo, Foxado, Teixeiro, Curtis, Betanzos, A Coruña, Galicia, 15310, España",43.133095,-8.0116691
TRAIL dos PENDELLOS 2016 (AGOLADA),dos PENDELLOS,"Rúa dos Pendellos, A Bandeira, Manduas, Silleda, O Deza, Pontevedra, Galicia, 36570, España",42.7300874,-8.3024018
"TRAIL, MINITRAIL Y ANDAINA CHANDREXA DE QUEIXA 2016",QUEIXA,"Queixa, Chandrexa de Queixa, Terra de Trives, Ourense, Galicia, España",42.2176804,-7.4203774
"TRAVESIA COMBARRO - ISLA DE TAMBO, POIO. 3500M","TAMBO, POIO. 3500M",,,
"TRAVESIA COMBARRO - ISLA DE TAMBO, POIO. 5000M","TAMBO, POIO. 5000M",,,
TRAVESIA CORUÑA 10000m,CORUÑA 10000m,,,
TRAVESIA DESAFÍO SANTANDER ISLAS CIES 2018,DESAFÍO SANTANDER ISLAS CIES,,,
TRAVESIA DESAFÍO SANTANDER ISLAS CIES 2019,DESAFÍO SANTANDER ISLAS CIES,,,
TRAVESIA LA HEROICA GRAN PREMIO DEPUTACION DE LUGO. 7ª et III Copa de España de Aguas Abiertas,Aguas Abiertas,,,
TRAVESÍA AO DIQUE 50 ANOS,AO DIQUE 50 ANOS,,,
TREPAVIÑAS 2013 BTT,TREPAVIÑAS,,,
TREPAVIÑAS 2013 CARRERA CARRERA APIE,TREPAVIÑAS,,,
TRIATLON LAGO DE AS PONTES 2026,AS PONTES,"As Pontes de García Rodríguez, O Eume, A Coruña, Galicia, 15320, España",43.4501505,-7.8531464
TRICROS CONCELLO DE RIANXO 2021,RIANXO,"Rianxo, A Barbanza, A Coruña, Galicia, España",42.6909268,-8.7911951
TRIPLE CORONA ILLAS ATLANTICAS- ISLA DE ONS - SANXENXO 13 KM,ONS - SANXENXO 13 KM,"Fonte de Ons, Noalla, Sanxenxo, O Salnés, Pontevedra, Galicia, 36990, España",42.4464242,-8.863228
TRIPLE CORONA ILLAS ATLÁNTICAS (CÍES - BAIONA) 2018,TRIPLE CORONA ILLAS ATLÁNTICAS,,,
TRIPLE CORONA ILLAS ATLÁNTICAS CÍES-BAIONA,TRIPLE CORONA ILLAS ATLÁNTICAS CÍES-BAIONA,,,
TRIPLE CORONA ILLAS ATLÁNTICAS ISLA DE ONS-COMBARRO (23Km),ONS-COMBARRO,,,
TRIPLE CORONA ILLAS ATLÁNTICAS ISLA DE SÁLVORA - VILAGARCÍA DE AROUSA,AROUSA,"Arousa, 14,16,18, Rúa de Curros Enríquez, A Rosaleda, O Ensanche, Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España",42.875123,-8.5411348
TRIPLE CORONA ILLAS ATLÁNTICAS ISLAS CÍES-BAIONA (15KM),TRIPLE CORONA ILLAS ATLÁNTICAS ISLAS CÍES-BAIONA,,,
TRIPLE CORONA ILLAS ATLÁNTICAS ONS-COMBARRO (23Km),TRIPLE CORONA ILLAS ATLÁNTICAS ONS-COMBARRO,,,
TRIPLE CORONA ILLAS ATLÁNTICAS SÁLVORA-RIBEIRA (19KM),TRIPLE CORONA ILLAS ATLÁNTICAS SÁLVORA-RIBEIRA,,,
TRISHARK NARÓN,TRISHARK NARÓN,,,
TRÍATLON CONCELLO DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON),TRÍATLON),"Calle Triatlón, Sevilla Este, Distrito Este-Alcosa-Torreblanca, Sevilla, Andalucía, 41016, España",37.3884945,-5.9182343
TRÍATLON CONCELLO DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2023,TRÍATLON),"Calle Triatlón, Sevilla Este, Distrito Este-Alcosa-Torreblanca, Sevilla, Andalucía, 41016, España",37.3884945,-5.9182343
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,TRÍATLON),"Calle Triatlón, Sevilla Este, Distrito Este-Alcosa-Torreblanca, Sevilla, Andalucía, 41016, España",37.3884945,-5.9182343
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,TRÍATLON),"Calle Triatlón, Sevilla Este, Distrito Este-Alcosa-Torreblanca, Sevilla, Andalucía, 41016, España",37.3884945,-5.9182343
Trail do Aloia 2021,Aloia,"Aloia, San Vicente de Arana / Done Bikendi Harana, Harana / Valle de Arana, Arabako Mendialdea, Araba / Álava, Euskadi, 01117, España",42.7510954,-2.347367
Travesía Costa Abanca by duacode Muxía - Camariñas 2019,Costa Abanca by duacode Muxía - Camariñas,,,
Travesía a Nado LA HEROICA –REGINA VIARUM Gran Premio Deputación de Lugo,Lugo,"Lugo, Galicia, España",43.0395266,-7.4567985
Triple Corona Illas Atlánticas O Grove-O Grove (12 km),Triple Corona Illas Atlánticas O Grove-O Grove,,,
ULTRA XTREM LAGOS. Distancia: 100 Km,ULTRA XTREM LAGOS. Distancia: 100 Km,,,
ULTRAMARATONA MELIDES - TROIA,ULTRAMARATONA MELIDES - TROIA,,,
UPSTREAM CIUDAD DE VALLADOLID 2015,VALLADOLID,"Valladolid, Castilla y León, España",41.6200024,-4.7259906
UPSTREAM CIUDAD DE VALLADOLID 2016,VALLADOLID,"Valladolid, Castilla y León, España",41.6200024,-4.7259906
UPSTREAM CUIDAD DE VALLADOLID 2014 2000M,VALLADOLID,"Valladolid, Castilla y León, España",41.6200024,-4.7259906
UPSTREAM CUIDAD DE VALLADOLID 2014 5000M,VALLADOLID,"Valladolid, Castilla y León, España",41.6200024,-4.7259906
UPSTREAM LAGO DE SANABRIA 2016,SANABRIA,"Sanabria, Las Vegas - Santa María, Villanueva del Pardillo, Comunidad de Madrid, España",40.4931964,-3.964169
URBAN TRAIL NIGHT 2016,URBAN,"Urban, Amieva, Asturias / Asturies, España",43.2313226,-5.045049
UROS RACE 2024,UROS,,,
UROS RACE 2025,UROS,,,
Upstream Lago de Sanabria 2015,Sanabria,"Sanabria, Las Vegas - Santa María, Villanueva del Pardillo, Comunidad de Madrid, España",40.4931964,-3.964169
V 10 KM VILLA DE RIBADESELLA 2013,RIBADESELLA,"Ribadesella/Ribeseya, Asturias / Asturies, España",43.4456557,-5.0835484
V 10KM CIDADE UNIVERSITARIA - CUVI 2011,10KM UNIVERSITARIA - CUVI,,,
V BAIXADA POPULAR CROS SAN PEDRO DE VISMA,VISMA,"Visma, A Coruña, Galicia, España",43.3649418,-8.4422016
V C-TRAIL BRIGANTIA AVENTURA,C-TRAIL BRIGANTIA AVENTURA,,,
V C.P. CONCELLO MONFORTE,C.P. MONFORTE,"Calle de la Iglesia, Mujeres Deportistas, Monforte del Cid, el Vinalopó Mitjà / El Vinalopó Medio, Alacant / Alicante, Comunitat Valenciana, España",38.3793591,-0.7295043
V C.P. MONTE DE SANTA CRUZ 2012 (RIBADEO),SANTA CRUZ,"Santa Cruz de Tenerife, Canarias, España",28.467178,-16.2507843
V C.P. SAN XIÁN DE ARTES. CARREIRA DO DEMO 2012,DEMO,"Demo, 7-8, Plaça de Narcís Oller, la Vila de Gràcia, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08012, España",41.3970077,2.1555654
"V CAMOVI (CARREIRA DE MONTAÑA ""MONTES DE VIVEIRO"") 2015","VIVEIRO"")","Viveiro, A Mariña Occidental, Lugo, Galicia, España",43.6433582,-7.5957612
V CAMPEONATO GALLEGO DE AGUAS ABIERTAS,AGUAS ABIERTAS,,,
