fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,categoria_genero,modalidad
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL,2017-05-20,Sábado,0.0,road running,Equipos,0,0,Cospeito,Terra Chá,Lugo,0,mixto,CONTRARELOXO POR EQUIPOS MIXTOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL,2017-05-20,Sábado,0.0,road running,Infantil,4,12,Cospeito,Terra Chá,Lugo,0,mixto,INFANTIL E CADETE
ccnorte,XVII CLÁSICA VILA DAS PONTES - DESAFÍO FRAGAS DO EUME 2014,2014-06-22,Domingo,120.0,Otros,Absoluta/General,0,0,As Pontes de García Rodríguez,O Eume,Galicia,0,mixto,AS PONTES - ALTO DO CAXADO . DISTANCIA:
ccnorte,XVII COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,2015-08-01,Sábado,0.0,Otros,Absoluta/General,20,26,,,,0,mixto,COPA ASTURIAS
ccnorte,XVII CROSS POPULAR DO CONCELLO DE BOBORÁS (OURENSE),2017-01-15,Domingo,0.0,road running,Absoluta/General,11,12,Boborás,O Carballiño,Ourense,0,mixto,CATEGORÍA 1
ccnorte,XVII CROSS POPULAR DO CONCELLO DE BOBORÁS (OURENSE),2017-01-15,Domingo,0.0,road running,Absoluta/General,7,12,Boborás,O Carballiño,Ourense,0,mixto,CATEGORÍA 2 E 3
ccnorte,XVII CROSS POPULAR DO CONCELLO DE BOBORÁS (OURENSE),2017-01-15,Domingo,0.0,road running,Absoluta/General,43,191,Boborás,O Carballiño,Ourense,0,mixto,CATEGORÍAS 4 E 5
ccnorte,XVII MEDIO MARATON GRAN BAHÍA VIG-BAY,2016-04-10,Domingo,21.097,road running,Equipos,0,0,,,,0,mixto,Equipos Femeninos
ccnorte,XVII MEDIO MARATON GRAN BAHÍA VIG-BAY,2016-04-10,Domingo,21.097,road running,Equipos,0,0,,,,0,mixto,Equipos Masculinos / Mixtos
ccnorte,XVII MEDIO MARATON GRAN BAHÍA VIG-BAY,2016-04-10,Domingo,21.097,road running,Absoluta/General,636,3402,,,,0,mixto,MEDIO MARATON
ccnorte,XVII MEDIO MARATON GRAN BAHÍA VIG-BAY,2016-04-10,Domingo,21.097,road running,Absoluta/General,1,8,,,,0,mixto,MEDIO MARATON EN VEHÍCULO ADAPTADO
ccnorte,XVII MEMORIAL EDUARDO FERNÁNDEZ VILLAMARÍN 2020,2020-01-25,Sábado,0.0,road running,Absoluta/General,61,290,,,,0,mixto,ABSOLUTA
ccnorte,XVII MEMORIAL EDUARDO FERNÁNDEZ VILLAMARÍN 2020,2020-01-25,Sábado,0.0,Otros,Absoluta/General,17,27,,,,0,mixto,CATEGORIA A
ccnorte,XVII MEMORIAL EDUARDO FERNÁNDEZ VILLAMARÍN 2020,2020-01-25,Sábado,0.0,Otros,Absoluta/General,18,24,,,,0,mixto,CATEGORIA B
ccnorte,XVII MEMORIAL EDUARDO FERNÁNDEZ VILLAMARÍN 2020,2020-01-25,Sábado,0.0,Otros,Absoluta/General,4,5,,,,0,mixto,CATEGORIA C
ccnorte,XVII SAN SILVESTRE POPULAR CIUDAD DE LEON,2013-12-29,Domingo,6.8,road running,Absoluta/General,0,0,Quintana del Castillo,,León,0,mixto,PRUEBA ABSOLUTA
ccnorte,XVII Tríatlon Cidade de Ferrol,2017-08-05,Sábado,0.0,Multidisciplina,Absoluta/General,0,110,Ferrol,Ferrol,Galicia,0,mixto,A
ccnorte,XVII Tríatlon Cidade de Ferrol,2017-08-05,Sábado,0.0,Multidisciplina,Absoluta/General,0,62,Ferrol,Ferrol,Galicia,0,mixto,B
ccnorte,XVII Tríatlon Cidade de Ferrol,2017-08-05,Sábado,0.0,Multidisciplina,Absoluta/General,35,0,Ferrol,Ferrol,Galicia,0,femenino,Femenina
ccnorte,XVII Tríatlon Cidade de Ferrol,2017-08-05,Sábado,0.0,road running,Absoluta/General,15,44,Ferrol,Ferrol,Galicia,0,mixto,Popular
ccnorte,XVII Tríatlon Cidade de Pontevedra,2017-08-26,Sábado,0.0,Multidisciplina,Absoluta/General,48,0,Pontevedra,Pontevedra,Galicia,0,femenino,Femenina
ccnorte,XVII Tríatlon Cidade de Pontevedra,2017-08-26,Sábado,0.0,Multidisciplina,Absoluta/General,0,68,Pontevedra,Pontevedra,Galicia,0,masculino,Masculina
ccnorte,XVII Tríatlon Cidade de Pontevedra,2017-08-26,Sábado,0.0,Multidisciplina,Absoluta/General,17,40,Pontevedra,Pontevedra,Galicia,0,mixto,Mini
ccnorte,XVII Tríatlon Cidade de Pontevedra,2017-08-26,Sábado,0.0,Multidisciplina,Absoluta/General,2,3,Pontevedra,Pontevedra,Galicia,0,mixto,Paratriatlón
ccnorte,XVII Tríatlon Cidade de Pontevedra,2017-08-26,Sábado,0.0,Multidisciplina,Absoluta/General,12,162,Pontevedra,Pontevedra,Galicia,0,mixto,Sprint
ccnorte,XVIII CARREIRA CANON DO SIL,2025-10-19,Domingo,12.0,road running,Infantil,0,4,Palacios del Sil,,León,0,mixto,C - + Xuvenil
ccnorte,XVIII CARREIRA CANON DO SIL,2025-10-19,Domingo,17.0,road running,Absoluta/General,25,61,Palacios del Sil,,León,0,mixto,C – +
ccnorte,XVIII CARREIRA CANON DO SIL,2025-10-19,Domingo,33.0,road running,Absoluta/General,10,49,Palacios del Sil,,León,0,mixto,C - +
ccnorte,XVIII CARREIRA CANON DO SIL,2025-10-19,Domingo,7.0,road running,Absoluta/General,6,4,Palacios del Sil,,León,0,mixto,C - +
ccnorte,XVIII CARREIRA CANON DO SIL,2025-10-19,Domingo,7.0,road running,Infantil,2,4,Palacios del Sil,,León,0,mixto,C - + Cadete
ccnorte,XVIII CARREIRA NOCTURNA DE CELANOVA,2023-06-03,Sábado,0.0,road running,Absoluta/General,63,219,Celanova,Terra da Celanova,Ourense,0,mixto,ABSOLUTA
ccnorte,XVIII CARREIRA NOCTURNA DE CELANOVA,2023-06-03,Sábado,0.0,road running,Absoluta/General,16,18,Celanova,Terra da Celanova,Ourense,0,mixto,SUB-14 SUB-16
ccnorte,XVIII CARREIRA NOCTURNA DE CELANOVA,2023-06-03,Sábado,0.0,road running,Infantil,27,26,Celanova,Terra da Celanova,Ourense,0,mixto,SUB10
ccnorte,XVIII CARREIRA NOCTURNA DE CELANOVA,2023-06-03,Sábado,0.0,road running,Infantil,20,17,Celanova,Terra da Celanova,Ourense,0,mixto,SUB12
ccnorte,XVIII CARREIRA NOCTURNA DE CELANOVA,2023-06-03,Sábado,0.0,road running,Infantil,13,20,Celanova,Terra da Celanova,Ourense,0,mixto,SUB8
ccnorte,XVIII CARREIRA NOCTURNA VILAGARCIA,2022-07-30,Sábado,0.0,road running,Absoluta/General,40,161,Vilagarcía de Arousa,O Salnés,Galicia,0,mixto,ADULTOS
ccnorte,XVIII CARREIRA PEDESTRE DO NADAL CONCELLO SAN CIBRAO DAS VIÑAS,2019-12-15,Domingo,10.0,road running,Absoluta/General,104,288,San Cibrao das Viñas,Ourense,Ourense,0,mixto,PROBA
