fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,evento_ref,resultado_ref,nombre_evento,nombre_prueba,distancia_m
cronorunner,VII 10MILPASSOS KANGURS BENIFAIÓ (Cadet (Sub16)),2024-05-25,Sábado,2.0,road running,Infantil,,,Benifaió,València / Valencia,Comunitat Valenciana,311-1872,311-1872-2911,VII 10MILPASSOS KANGURS BENIFAIÓ,Cadet (Sub16),2000
cronorunner,VII 10MILPASSOS KANGURS BENIFAIÓ (10k),2024-05-25,Sábado,10.0,road running,Absoluta/General,107.0,350.0,Benifaió,València / Valencia,Comunitat Valenciana,311-1872,311-1872-2739,VII 10MILPASSOS KANGURS BENIFAIÓ,10k,10000
cronorunner,TRAIL VALLE DEL TÚRIA GESTALGAR (Trail),2024-05-19,Domingo,26.0,trail running,Absoluta/General,28.0,189.0,Gestalgar,La Serranía,Comunitat Valenciana,608-1896,608-1896-2812,TRAIL VALLE DEL TÚRIA GESTALGAR,Trail,26000
cronorunner,TRAIL VALLE DEL TÚRIA GESTALGAR (Sprint Trail),2024-05-19,Domingo,11.0,trail running,Absoluta/General,117.0,173.0,Gestalgar,La Serranía,Comunitat Valenciana,608-1896,608-1896-2813,TRAIL VALLE DEL TÚRIA GESTALGAR,Sprint Trail,11000
cronorunner,TRAIL VALLE DEL TÚRIA GESTALGAR (Marcha no competitiva),2024-05-19,Domingo,6.5,trail running,Absoluta/General,,,Gestalgar,La Serranía,Comunitat Valenciana,608-1896,608-1896-2814,TRAIL VALLE DEL TÚRIA GESTALGAR,Marcha no competitiva,6500
cronorunner,VI SCHNEIDER ELECTRIC 7K MELIANA (Caminata 5k),2024-05-18,Sábado,5.0,road running,Absoluta/General,34.0,17.0,Meliana,l'Horta Nord,Comunitat Valenciana,439-1886,439-1886-2878,VI SCHNEIDER ELECTRIC 7K MELIANA,Caminata 5k,5000
cronorunner,VI SCHNEIDER ELECTRIC 7K MELIANA (Chupetines (2024-2019)),2024-05-18,Sábado,0.0,road running,Infantil,,,Meliana,l'Horta Nord,Comunitat Valenciana,439-1886,439-1886-2873,VI SCHNEIDER ELECTRIC 7K MELIANA,Chupetines (2024-2019),0
cronorunner,VI SCHNEIDER ELECTRIC 7K MELIANA (Prebenjamin (2018-2017)),2024-05-18,Sábado,0.0,road running,Infantil,,,Meliana,l'Horta Nord,Comunitat Valenciana,439-1886,439-1886-2874,VI SCHNEIDER ELECTRIC 7K MELIANA,Prebenjamin (2018-2017),0
cronorunner,VI SCHNEIDER ELECTRIC 7K MELIANA (Benjami (2016-2015)),2024-05-18,Sábado,0.0,road running,Infantil,,,Meliana,l'Horta Nord,Comunitat Valenciana,439-1886,439-1886-2875,VI SCHNEIDER ELECTRIC 7K MELIANA,Benjami (2016-2015),0
cronorunner,VI SCHNEIDER ELECTRIC 7K MELIANA (Alevin (2014-2013)),2024-05-18,Sábado,0.0,road running,Infantil,,,Meliana,l'Horta Nord,Comunitat Valenciana,439-1886,439-1886-2876,VI SCHNEIDER ELECTRIC 7K MELIANA,Alevin (2014-2013),0
cronorunner,VI SCHNEIDER ELECTRIC 7K MELIANA (Infantil (2012-2011)),2024-05-18,Sábado,0.0,road running,Infantil,,,Meliana,l'Horta Nord,Comunitat Valenciana,439-1886,439-1886-2877,VI SCHNEIDER ELECTRIC 7K MELIANA,Infantil (2012-2011),0
cronorunner,VI SCHNEIDER ELECTRIC 7K MELIANA (7k),2024-05-18,Sábado,7.0,road running,Absoluta/General,150.0,317.0,Meliana,l'Horta Nord,Comunitat Valenciana,439-1886,439-1886-2791,VI SCHNEIDER ELECTRIC 7K MELIANA,7k,7000
cronorunner,XLII VOLTA A PEU LLUIS VIVES,2024-05-17,Viernes,5.2,road running,Absoluta/General,,,Sueca,València / Valencia,Comunitat Valenciana,384-1903,384-1903-2906,XLII VOLTA A PEU LLUIS VIVES,5k,5200
cronorunner,VI TRAIL MILLARES (Trail 24k),2024-05-12,Domingo,24.0,trail running,Absoluta/General,5.0,38.0,Millares,València / Valencia,Comunitat Valenciana,616-1935,616-1935-2822,VI TRAIL MILLARES,Trail 24k,24000
cronorunner,VI TRAIL MILLARES (Sprint Trail 14k),2024-05-12,Domingo,14.0,trail running,Absoluta/General,22.0,59.0,Millares,València / Valencia,Comunitat Valenciana,616-1935,616-1935-2823,VI TRAIL MILLARES,Sprint Trail 14k,14000
cronorunner,VI TRAIL MILLARES (Marcha andarines),2024-05-12,Domingo,9.6,trail running,Absoluta/General,,,Millares,València / Valencia,Comunitat Valenciana,616-1935,616-1935-2824,VI TRAIL MILLARES,Marcha andarines,9600
cronorunner,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA) (Chupeti (2019-2024)),2024-05-11,Sábado,0.1,road running,Infantil,,,Alberic,València / Valencia,Comunitat Valenciana,264-1848,264-1848-2898,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA),Chupeti (2019-2024),100
cronorunner,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA) (Prebenjamin (2017-2018)),2024-05-11,Sábado,0.3,road running,Infantil,,,Alberic,València / Valencia,Comunitat Valenciana,264-1848,264-1848-2899,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA),Prebenjamin (2017-2018),300
cronorunner,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA) (Benjamin (2015-2016)),2024-05-11,Sábado,0.5,road running,Infantil,13.0,20.0,Alberic,València / Valencia,Comunitat Valenciana,264-1848,264-1848-2900,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA),Benjamin (2015-2016),500
cronorunner,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA) (Alevin (2013-2014)),2024-05-11,Sábado,1.0,road running,Infantil,30.0,20.0,Alberic,València / Valencia,Comunitat Valenciana,264-1848,264-1848-2901,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA),Alevin (2013-2014),1000
cronorunner,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA) (Infantil (2011-2012)),2024-05-11,Sábado,1.5,road running,Infantil,8.0,8.0,Alberic,València / Valencia,Comunitat Valenciana,264-1848,264-1848-2902,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA),Infantil (2011-2012),1500
cronorunner,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA) (Cadets (2007-2010)),2024-05-11,Sábado,0.0,road running,Infantil,4.0,9.0,Alberic,València / Valencia,Comunitat Valenciana,264-1848,264-1848-2903,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA),Cadets (2007-2010),0
cronorunner,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA) (8k),2024-05-11,Sábado,8.0,road running,Absoluta/General,100.0,316.0,Alberic,València / Valencia,Comunitat Valenciana,264-1848,264-1848-2755,XXVI VOLTA A PEU ALBERIC (LA CARRERA DE LA MONA),8k,8000
cronorunner,XLII MITJA MARATÓ D'ALCÀSSER (Compro obsequio (NO CORRO)),2024-05-11,Sábado,0.0,road running,Absoluta/General,,,Alcàsser,l'Horta Sud,Comunitat Valenciana,223-1878,223-1878-2815,XLII MITJA MARATÓ D'ALCÀSSER,Compro obsequio (NO CORRO),0
cronorunner,XLII MITJA MARATÓ D'ALCÀSSER (21k),2024-05-11,Sábado,21.097,road running,Absoluta/General,133.0,675.0,Alcàsser,l'Horta Sud,Comunitat Valenciana,223-1878,223-1878-2745,XLII MITJA MARATÓ D'ALCÀSSER,21k,21097
cronorunner,III CARRERA DE LES DONES ALDAIA - ALAQUÀS,2024-05-10,Viernes,5.0,road running,Absoluta/General,,,Aldaia,l'Horta Sud,Comunitat Valenciana,612-1925,612-1925-2880,III CARRERA DE LES DONES ALDAIA - ALAQUÀS,5K,5000
cronorunner,VII 5K EMPERADOR MEMORIAL EVA GIMENO (5K MENORES),2024-05-05,Domingo,5.0,road running,Infantil,18.0,15.0,Emperador,l'Horta Nord,Comunitat Valenciana,392-1885,392-1885-2913,VII 5K EMPERADOR MEMORIAL EVA GIMENO,5K MENORES,5000
cronorunner,VII 5K EMPERADOR MEMORIAL EVA GIMENO (5k),2024-05-05,Domingo,5.0,road running,Absoluta/General,157.0,338.0,Emperador,l'Horta Nord,Comunitat Valenciana,392-1885,392-1885-2790,VII 5K EMPERADOR MEMORIAL EVA GIMENO,5k,5000
cronorunner,XI CARRERA DE LA DONA DE SUECA,2024-05-05,Domingo,5.0,road running,Absoluta/General,468.0,4.0,Sueca,València / Valencia,Comunitat Valenciana,219-1905,219-1905-2872,XI CARRERA DE LA DONA DE SUECA,5k,5000
cronorunner,VII 10K MANISES,2024-05-05,Domingo,10.0,road running,Absoluta/General,111.0,400.0,Manises,l'Horta Sud,Comunitat Valenciana,560-1911,560-1911-2862,VII 10K MANISES,10k,10000
cronorunner,IX 10K BENIMODO (Compro camiseta (NO CORRO)),2024-05-04,Sábado,0.0,road running,Absoluta/General,,,Benimodo,València / Valencia,Comunitat Valenciana,163-1847,163-1847-2879,IX 10K BENIMODO,Compro camiseta (NO CORRO),0
cronorunner,IX 10K BENIMODO (10k),2024-05-04,Sábado,10.0,road running,Absoluta/General,71.0,275.0,Benimodo,València / Valencia,Comunitat Valenciana,163-1847,163-1847-2754,IX 10K BENIMODO,10k,10000
cronorunner,II 5K CARCAIXENT MEMORIAL PEPE OLASO (Fila 0 (Donativo-No corro)),2024-05-03,Viernes,0.0,road running,Absoluta/General,,,Carcaixent,València / Valencia,Comunitat Valenciana,633-1937,633-1937-2892,II 5K CARCAIXENT MEMORIAL PEPE OLASO,Fila 0 (Donativo-No corro),0
cronorunner,II 5K CARCAIXENT MEMORIAL PEPE OLASO (5k competitiva),2024-05-03,Viernes,5.0,road running,Absoluta/General,59.0,173.0,Carcaixent,València / Valencia,Comunitat Valenciana,633-1937,633-1937-2826,II 5K CARCAIXENT MEMORIAL PEPE OLASO,5k competitiva,5000
cronorunner,II 5K CARCAIXENT MEMORIAL PEPE OLASO (3KM Caminata A tu ritmo),2024-05-03,Viernes,3.0,road running,Absoluta/General,,,Carcaixent,València / Valencia,Comunitat Valenciana,633-1937,633-1937-2889,II 5K CARCAIXENT MEMORIAL PEPE OLASO,3KM Caminata A tu ritmo,3000
cronorunner,XI VOLTA A PEU A TAVERNES BLANQUES AVAPACE,2024-05-01,Miércoles,0.0,road running,Absoluta/General,154.0,296.0,Tavernes Blanques,l'Horta Nord,Comunitat Valenciana,208-1901,208-1901-2912,XI VOLTA A PEU A TAVERNES BLANQUES AVAPACE,Carrera Popular,0
cronorunner,XVIII SUBIDA VERTICAL GRAN HOTEL BALI (ELITE - F),2024-04-27,Sábado,0.052,trail running,Elite,1.0,1.0,Benidorm,la Marina Baixa,Comunitat Valenciana,441-1821,441-1821-2905,XVIII SUBIDA VERTICAL GRAN HOTEL BALI,ELITE - F,52
