event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,classificat_sexe_desconegut,DNF_h,DNF_d,DNF_total,DSQ_h,DSQ_d,DSQ_total,DNS_h,DNS_d,DNS_total,estat_desconegut_h,estat_desconegut_d,estat_desconegut_sexe_desconegut,esport
1317,OLULA DEL RIO - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-06-27,Olula del Río (Almería),10K,4024,ok,,142,124,18,142,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1260,"I PRUEBA DE FONDO ""VILLA DE IZNALLOZ - SIERRA ARANA""",2021-06-20,Iznalloz (Granada),"10,5 Km",4008,ok,,202,165,37,202,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1324,II MEDIA MARATON BTT CUEVAS DEL ALMANZORA,2021-06-20,Cuevas del Almanzora (Almería),44 km,4011,ok,,76,73,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,BTT
1323,MOZARABE BIKE RACE 2021,2021-06-19,Almería (Almería),220 Km,4025,ok,,236,226,10,236,0,0,0,0,0,0,0,0,0,0,0,0,0,Ultramaratón
1269,"XXXIX PRUEBA DE FONDO ""CIUDAD DE DÚRCAL- RUTA BOABDIL""",2021-06-13,Dúrcal (Granada),11 Km,4006,ok,,237,185,52,237,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1322,ENDURAMA QUENTAR,2021-06-13,Quéntar (Granada),25 Km,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/GENERAL_-_PRO.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enduro
1313,CARRERA POPULAR RIOJA 2021,2021-06-12,Rioja (Almería),10K,4005,ok,,205,159,46,205,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1293,MEDIA LEGUA GRUESA PURCHENA 2021,2021-06-06,Purchena (Almería),28 o 12 Km,4002,ok,,99,90,9,99,0,0,0,0,0,0,0,0,0,0,0,0,0,CxM
1305,I MEDIA MARATON DE LOS GALLARDOS,2021-06-06,"Gallardos, Los (Almería)",Media maratón BTT,4225,ok,,136,125,11,136,0,0,0,0,0,0,0,0,0,0,0,0,0,Cicloturismo
1289,III CARRERA SOLIDARIA LUX MUNDI MUEVETE CONTRA EL CANCER INFANTIL ''Virtual LXM 21'',2021-05-31,Cualquier lugar del mundo (Cualquier lugar del mundo),Varias,3989,ok,,15,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual
1240,MAGINA BIKE RACE - VUELTA JAEN BTT 2021,2021-05-30,Cambil (Jaén),Varias,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/CLASIFICACION_GENERAL_2_5eYVPQO.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BTT
1259,"XX PRUEBA DE FONDO ""CIUDAD DE LOJA""",2021-05-30,Loja (Granada),"10,5 Km",3982,ok,,244,201,43,244,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1284,VI LANJARON CAÑON TRAIL,2021-05-30,Lanjarón (Granada),Varias,3986,ok,,188,158,30,188,0,0,0,0,0,0,0,0,0,0,0,0,0,Trail
1292,I CARRERA SOLIDARIA NUESTRA SEÑORA DE LA CONSOLACIÓN,2021-05-30,Granada (Granada),5K y 10K,3993,ok,,39,19,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Solidaria
1294,I MARATÓN VIRTUAL LA VOZ DE ALMERIA,2021-05-30,Cualquier lugar del mundo (Cualquier lugar del mundo),Maratón por etapas,3996,ok,,32,27,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual
1295,I CARRERA-MARCHA SOLIDARIA GRUPO SCOUT ALBA 601 - 5K POR JIMENA,2021-05-30,Cualquier lugar del mundo (Cualquier lugar del mundo),5K,3998,ok,,41,21,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual solidaria
1296,III MARCHA NÓRDICA CIUDAD DE ALMERIA 2021,2021-05-30,Almería (Almería),Varias,3984,ok,,115,50,65,115,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcha Nórdica
1304,IX MARCHA CICLODEPORTIVA DEL BAJO ANDARAX,2021-05-30,Viator (Almería),90 Km,3988,ok,,113,102,11,113,0,0,0,0,0,0,0,0,0,0,0,0,0,Cicloturismo
1268,"XXXII PRUEBA DE FONDO ""CIUDAD DE ALHAMA""",2021-05-23,Alhama de Granada (Granada),"9,5 Km",4293,ok,,239,197,42,239,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1286,V CxM SIERRO 2021,2021-05-16,Sierro (Almería),27 o 12 Km,3956,ok,,232,205,27,232,0,0,0,0,0,0,0,0,0,0,0,0,0,Trail
1303,I VUELTA CICLISTA A CARBONERAS (15-16 DE MAYO),2021-05-16,Carboneras (Almería),CRI + Ruta,3952,ok,,6,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciclismo por etapas
1276,9ª CARRERA POPULAR UNIVERSIDAD DE ALMERÍA -EDICIÓN VIRTUAL-,2021-05-15,Almería (Almería),5K y 10K,3958,ok,,57,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual
1267,"XXXIII PRUEBA DE FONDO ""CIUDAD DE ÓRGIVA""",2021-05-09,Órgiva (Granada),"18,5 Km",3951,ok,,224,190,34,224,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1302,I MEDIA MARATON BTT VILLA DE HUERCAL OVERA,2021-05-09,Huércal-Overa (Almería),47 Km,3950,ok,,338,325,13,338,0,0,0,0,0,0,0,0,0,0,0,0,0,Media Maratón BTT
1301,I CONTRARRELOJ ''VILLA DE FINES'',2021-05-08,Níjar (Almería),12 Km,3947,ok,,117,103,14,117,0,0,0,0,0,0,0,0,0,0,0,0,0,CRI
1297,II DUATLÓN DE MENORES CIUDAD DE TÍJOLA,2021-05-02,Tíjola (Almería),Cat. Menores,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/PREBENJAMIN_-_M_uBzXlHz.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duatlon
1274,I MARCHA/CARRERA VIRTUAL ''MUÉVETE POR EL PARKINSON'' JAÉN,2021-04-30,Jaén (Jaén),Varias,3943,ok,,30,11,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual solidaria
1256,CARRERA VIRTUAL SOLIDARIA ''CARLOS SORIA CON NEPAL'',2021-04-25,Cualquier lugar del mundo (Cualquier lugar del mundo),5K,3946,ok,,45,25,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Solidaria
1280,I MARCHA/CARRERA POR ''LA LECTURA INFANTIL'' TÍJOLA 2021,2021-04-25,Tíjola (Almería),5K y 10K,3937,ok,,13,8,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual Solidaria
