fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,comunidad_autonoma
sportmaniacs,Foto Meetup 7,2020-01-13,Lunes,0.0,Otros,Absoluta/General,0.0,2.0,Valencia,Comarca de València,Valencia,
sportmaniacs,Foto Meetup 8,2020-01-13,Lunes,0.0,Otros,Absoluta/General,0.0,2.0,Valencia,Comarca de València,Valencia,
sportmaniacs,Foto Meetup 9,2020-01-13,Lunes,0.0,Otros,Absoluta/General,0.0,2.0,Valencia,Comarca de València,Valencia,
sportmaniacs,Foto Meetup 10,2020-01-13,Lunes,0.0,Otros,Absoluta/General,1.0,1.0,Valencia,Comarca de València,Valencia,
sportmaniacs,V Trail Ciudad de Zafra,2020-03-01,Domingo,0.0,trail running,Absoluta/General,8.0,38.0,Zafra,,Badajoz,
sportmaniacs,V Trail Ciudad de Zafra,2020-03-01,Domingo,0.0,trail running,Absoluta/General,15.0,85.0,Zafra,,Badajoz,
sportmaniacs,MEDIA MARATON DE TORO,2020-01-26,Domingo,21.097,road running,Absoluta/General,29.0,319.0,Toro,,Zamora,
sportmaniacs,MEDIA MARATON DE TORO,2020-01-26,Domingo,10.0,road running,Absoluta/General,68.0,164.0,Toro,,Zamora,
sportmaniacs,II CARRERA DEL AMOR,2020-02-09,Domingo,0.0,road running,Absoluta/General,55.0,46.0,Zaragoza,Zaragoza,Zaragoza,
sportmaniacs,CARRERA NOCTURNA LA CANDELARIA Y SAN BLAS,2020-01-31,Viernes,5.0,road running,Absoluta/General,40.0,37.0,Tías,,Las Palmas,
sportmaniacs,CARRERA NOCTURNA LA CANDELARIA Y SAN BLAS,2020-01-31,Viernes,10.0,road running,Absoluta/General,9.0,31.0,Tías,,Las Palmas,
sportmaniacs,Mediterranean Epic 2020,2020-02-13,Jueves,0.0,road running,Absoluta/General,47.0,564.0,Oropesa del Mar,la Plana Alta,Castellón,
sportmaniacs,Mediterranean Epic 2020,2020-02-13,Jueves,0.0,Multidisciplina,Absoluta/General,41.0,527.0,Oropesa del Mar,la Plana Alta,Castellón,
sportmaniacs,Mediterranean Epic 2020,2020-02-13,Jueves,0.0,Multidisciplina,Absoluta/General,40.0,514.0,Oropesa del Mar,la Plana Alta,Castellón,
