fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,anyo,mes,estacion,total_finishers,es_finde,municipio_norm,provincia_norm,provincia_ine,total_poblacion,poblacion_h,poblacion_d,es_carrera_popular,distancia_conocida
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,,trail running,Absoluta/General,9.0,104.0,Bilbao,,Bizkaia,2026,3,Primavera,113.0,True,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,False,False
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,,trail running,Absoluta/General,0.0,0.0,Bilbao,,Bizkaia,2026,3,Primavera,0.0,True,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,False,False
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,,trail running,Absoluta/General,58.0,131.0,Bilbao,,Bizkaia,2026,3,Primavera,189.0,True,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,False,False
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,30.0,road running,Absoluta/General,25.0,216.0,Zaramillo,,Bizkaia,2026,2,Invierno,241.0,True,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,24.0,road running,Absoluta/General,50.0,285.0,Zaramillo,,Bizkaia,2026,2,Invierno,335.0,True,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,Pruebas Crono,2026-02-12,Jueves,30.0,road running,Absoluta/General,0.0,0.0,Zaramillo,,Bizkaia,2026,2,Invierno,0.0,False,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,Pruebas Crono,2026-02-12,Jueves,24.0,road running,Absoluta/General,0.0,0.0,Zaramillo,,Bizkaia,2026,2,Invierno,0.0,False,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,10.0,road running,Absoluta/General,96.0,264.0,Mungia,,Bizkaia,2026,1,Invierno,360.0,True,MUNGIA,BIZKAIA,48.0,18135.0,8812.0,9323.0,False,True
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,5.0,road running,Absoluta/General,163.0,131.0,Mungia,,Bizkaia,2026,1,Invierno,294.0,True,MUNGIA,BIZKAIA,48.0,18135.0,8812.0,9323.0,False,True
buscametas,Bilbao Rekalde San Silvestre,2025-12-31,Miércoles,,Otros,Mayores/Veteranos,1057.0,1703.0,Bilbao,,Bizkaia,2025,12,Invierno,2760.0,False,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,True,False
buscametas,San Silvestre Sodupe,2025-12-31,Miércoles,,Otros,Mayores/Veteranos,124.0,298.0,Sodupe,,Bizkaia,2025,12,Invierno,422.0,False,SODUPE,BIZKAIA,48.0,,,,True,False
buscametas,San Silvestre de Vitoria-Gasteiz,2025-12-31,Miércoles,,Otros,Mayores/Veteranos,1167.0,1355.0,Vitoria,Gasteizko kuadrilla,Álava,2025,12,Invierno,2522.0,False,VITORIA,ALAVA,1.0,,,,True,False
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,,Otros,Infantil,6.0,12.0,Bilbao,,Bizkaia,2025,12,Invierno,18.0,False,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,True,False
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,,Otros,Infantil,23.0,46.0,Bilbao,,Bizkaia,2025,12,Invierno,69.0,False,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,True,False
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,,Otros,Infantil,35.0,32.0,Bilbao,,Bizkaia,2025,12,Invierno,67.0,False,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,True,False
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,,Otros,Infantil,32.0,43.0,Bilbao,,Bizkaia,2025,12,Invierno,75.0,False,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,True,False
buscametas,San Silvestre Santurtzi,2025-12-31,Miércoles,7.0,road running,Absoluta/General,152.0,309.0,Santurtzi,,Bizkaia,2025,12,Invierno,461.0,False,SANTURTZI,BIZKAIA,48.0,46530.0,22357.0,24173.0,True,True
buscametas,Muskiz 3 Milia,2025-12-20,Sábado,5.0,road running,Absoluta/General,190.0,240.0,Muskiz,,Bizkaia,2025,12,Invierno,430.0,True,MUSKIZ,BIZKAIA,48.0,7468.0,3691.0,3777.0,False,True
buscametas,Zalla-Balma-Zalla,2025-12-14,Domingo,14.0,road running,Absoluta/General,62.0,221.0,Zalla,,Bizkaia,2025,12,Invierno,283.0,True,ZALLA,BIZKAIA,48.0,8350.0,4083.0,4267.0,False,True
buscametas,La Media de Vitoria-Gasteiz,2025-12-14,Domingo,,road running,Absoluta/General,730.0,2562.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,2025,12,Invierno,3292.0,True,VITORIA-GASTEIZ,ALAVA,1.0,260402.0,126749.0,133653.0,False,False
buscametas,Soxoguti Erronka,2025-12-13,Sábado,,road running,Absoluta/General,47.0,203.0,Artziniega,,Álava,2025,12,Invierno,250.0,True,ARTZINIEGA,ALAVA,1.0,1868.0,925.0,943.0,False,False
