event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,inscrits,DNF_total,DSQ_total,DNS_total,esport,classificat_sexe_desconegut
201,I TRIATLON SANLUCAR,2018-05-20,SANLUCAR DE BARRAMEDA,EQUIPOS,equipos,ok,,48,0,0,48,,,,,Triatlón,48
,V CXM CIRCUITO 2018  DIPUTACION JAEN,2018-05-09,JAEN,,,sense_resultats,,,,,,,,,,Carrera por montaña,
208,WARRIORS RACE TARIFA,2018-04-29,TARIFA,- OCRA SPRINT 6 KM,ocrasprint6km,ok,,78,0,0,78,,,,,Carrera,78
208,WARRIORS RACE TARIFA,2018-04-29,TARIFA,EQUIPOS - OCRA SPRINT 6 KM,equiposocrasprint6km,ok,,37,0,0,37,,,,,Carrera,37
208,WARRIORS RACE TARIFA,2018-04-29,TARIFA,SUPER 13 KM,super13km,ok,,109,0,0,109,,,,,Carrera,109
208,WARRIORS RACE TARIFA,2018-04-29,TARIFA,EQUIPOS - SUPER 13 KM,equipossuper13km,ok,,16,0,0,16,,,,,Carrera,16
208,WARRIORS RACE TARIFA,2018-04-29,TARIFA,POPULAR 6 KM,popular6km,ok,,299,0,0,299,,,,,Carrera,299
197,VI TRIHERCULES CADIZ,2018-04-21,CADIZ,CON PUNTOS INTERMEDIOS,conpuntosintermedios,ok,,420,0,0,420,,,,,Triatlón,420
197,VI TRIHERCULES CADIZ,2018-04-21,CADIZ,PUNTOS INTERMEDIOS - FEMINAS,puntosintermediosfeminas,ok,,41,0,0,41,,,,,Triatlón,41
197,VI TRIHERCULES CADIZ,2018-04-21,CADIZ,PUNTOS INTERMEDIOS -,puntosintermedios,ok,,389,389,0,389,,,,,Triatlón,0
197,VI TRIHERCULES CADIZ,2018-04-21,CADIZ,LOCAL,local,ok,,80,73,7,80,,,,,Triatlón,0
197,VI TRIHERCULES CADIZ,2018-04-21,CADIZ,POR EQUIPOS,porequipos,ok,,467,409,58,467,,,,,Triatlón,0
,VUELTA ANDANDO A CEUTA - 2018,2018-04-21,CEUTA,,,sense_resultats,,,,,,,,,,Carrera,
203,III PRIMAVERA RUN CIUDAD DE VILLACARRILLO,2018-04-15,VILLACARRILLO,1 KM,1km,ok,,48,12,10,48,,,,,Carrera,26
203,III PRIMAVERA RUN CIUDAD DE VILLACARRILLO,2018-04-15,VILLACARRILLO,5 KM,5km,ok,,514,41,89,514,,,,,Carrera,384
203,III PRIMAVERA RUN CIUDAD DE VILLACARRILLO,2018-04-15,VILLACARRILLO,10 KM CON PUNTO INTERMEDIO,10kmconpuntointermedio,ok,,113,0,0,113,,,,,Carrera,113
187,V CXM MONTIZÓN - CONDADO DE JAÉN,2018-04-15,ALDEHERMOSA DE MONTIZÓN,CADETE /JUNIOR,cadetejunior,ok,,12,0,0,12,,,,,Carrera por montaña,12
187,V CXM MONTIZÓN - CONDADO DE JAÉN,2018-04-15,ALDEHERMOSA DE MONTIZÓN,MINITRAIL,minitrail,ok,,17,0,0,17,,,,,Carrera por montaña,17
187,V CXM MONTIZÓN - CONDADO DE JAÉN,2018-04-15,ALDEHERMOSA DE MONTIZÓN,TRAIL,trail,ok,,53,23,5,53,,,,,Carrera por montaña,25
,V DUATLON CIUDAD DE LA PALMA,2018-04-08,PALMA DEL CONDADO,,,sense_resultats,,,,,,,,,,Duatlón cros,
