fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconegut,id
buscametas,BTT Extreme Ezcaray - Sábado,2025-07-26,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,0,Ezcaray,,La Rioja,26.0,1208146251
buscametas,BTT Extreme Ezcaray - Sábado,2025-07-26,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,23,Ezcaray,,La Rioja,,1208143820
buscametas,BTT Extreme Ezcaray - Sábado,2025-07-26,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,17,Ezcaray,,La Rioja,,1208145615
buscametas,Areta Trail Lasterketa,2025-07-26,Sábado,0.0,trail running,Absoluta/General,27,142,Areta,,Álava,,1208153104
buscametas,Lurretza Güeñes Skyrace,2025-07-26,Sábado,0.0,trail running,Absoluta/General,12,42,Güeñes,,Bizkaia,,1208209362
buscametas,Lurretza Güeñes Skyrace,2025-07-26,Sábado,0.0,trail running,Absoluta/General,7,34,Güeñes,,Bizkaia,,1208210754
buscametas,BTT Extreme Ezcaray - Viernes,2025-07-25,Viernes,0.0,Ciclismo y btt,Absoluta/General,9,136,Ezcaray,,La Rioja,,53
buscametas,BTT Extreme Ezcaray - Viernes,2025-07-25,Viernes,0.0,Ciclismo y btt,Absoluta/General,0,0,Ezcaray,,La Rioja,29.0,54
buscametas,BTT Extreme Ezcaray - General,2025-07-25,Viernes,0.0,Ciclismo y btt,Absoluta/General,6,109,Ezcaray,,La Rioja,,57
buscametas,BTT Extreme Ezcaray - General,2025-07-25,Viernes,0.0,Ciclismo y btt,Absoluta/General,0,0,Ezcaray,,La Rioja,28.0,58
buscametas,KV Valdezcaray,2025-07-19,Sábado,0.0,trail running,Absoluta/General,11,0,Valdezcaray - Ezcaray,,La Rioja,,47
buscametas,KV Valdezcaray,2025-07-19,Sábado,0.0,trail running,Absoluta/General,0,53,Valdezcaray - Ezcaray,,La Rioja,,1206141756
buscametas,KV Valdezcaray,2025-07-19,Sábado,0.0,trail running,Absoluta/General,1,4,Valdezcaray - Ezcaray,,La Rioja,,1206142857
buscametas,KV Valdezcaray,2025-07-19,Sábado,0.0,trail running,Absoluta/General,3,5,Valdezcaray - Ezcaray,,La Rioja,,52
buscametas,KV Valdezcaray,2025-07-19,Sábado,0.0,trail running,Absoluta/General,3,5,Valdezcaray - Ezcaray,,La Rioja,,51
buscametas,KV Valdezcaray,2025-07-19,Sábado,0.0,trail running,Absoluta/General,1,1,Valdezcaray - Ezcaray,,La Rioja,,50
buscametas,KV Valdezcaray,2025-07-19,Sábado,0.0,trail running,Absoluta/General,6,1,Valdezcaray - Ezcaray,,La Rioja,,49
buscametas,Belatzgorri Trail,2025-07-06,Domingo,0.0,trail running,Absoluta/General,39,194,Urduliz,,Bizkaia,,1207737155
buscametas,Belatzgorri Trail,2025-07-06,Domingo,0.0,trail running,Absoluta/General,0,0,Urduliz,,Bizkaia,36.0,1207738189
buscametas,La Quadrako Mendi Lasterketa,2025-06-21,Sábado,0.0,trail running,Absoluta/General,5,49,La Quadra - Güeñes,,Bizkaia,,1206917430
buscametas,La Quadrako Mendi Lasterketa,2025-06-21,Sábado,0.0,trail running,Absoluta/General,20,40,La Quadra - Güeñes,,Bizkaia,,1206918319
buscametas,Burdin Hesiko Mendi Lasterketa,2025-06-21,Sábado,0.0,trail running,Absoluta/General,28,192,Gamiz-Fika,,Bizkaia,,1207181251
buscametas,Burdin Hesiko Mendi Lasterketa,2025-06-21,Sábado,0.0,trail running,Absoluta/General,122,283,Gamiz-Fika,,Bizkaia,,1207182190
buscametas,Burdin Hesiko Mendi Lasterketa,2025-06-21,Sábado,0.0,marcha,Absoluta/General,103,90,Gamiz-Fika,,Bizkaia,,1207183235
buscametas,Galipa Mendi Bira,2025-06-15,Domingo,0.0,trail running,Absoluta/General,64,146,Zierbena,,Bizkaia,,1206326336
buscametas,Galipa Mendi Bira,2025-06-15,Domingo,0.0,trail running,Absoluta/General,15,146,Zierbena,,Bizkaia,,1206327692
buscametas,Ribafrecha Trail (Dama del Leza),2025-06-14,Sábado,0.0,trail running,Absoluta/General,10,43,Ribafrecha,,La Rioja,,1214025134
buscametas,Galdames Mendi Bira,2025-06-07,Sábado,0.0,road running,Absoluta/General,25,105,Galdames,,Bizkaia,,1205903360
buscametas,Vi Half Gasteiz,2025-06-07,Sábado,0.0,road running,Absoluta/General,0,0,Vitoria - Gasteiz,Gasteizko kuadrilla,Álava,,1205946934
buscametas,InRace Madrid,2025-06-01,Domingo,5.0,road running,Absoluta/General,542,444,Madrid,,Madrid,,1205273536
buscametas,InRace Madrid,2025-06-01,Domingo,10.0,road running,Absoluta/General,172,423,Madrid,,Madrid,,1205274633
buscametas,Araia-Aratz KB,2025-05-31,Sábado,0.0,Otros,Absoluta/General,14,78,Araia,Arabako lautada,Álava,,1170086281
buscametas,Vuelta a San Cosme,2025-05-25,Domingo,0.0,Otros,Absoluta/General,19,60,Gordexola,,Bizkaia,,1214212591
buscametas,KZ Krono,2025-05-24,Sábado,0.0,trail running,Absoluta/General,21,72,Santurtzi,,Bizkaia,,1205566227
buscametas,KZ Krono,2025-05-24,Sábado,0.0,Ciclismo y btt,Absoluta/General,1,17,Santurtzi,,Bizkaia,,1205568370
buscametas,KZ Krono,2025-05-24,Sábado,0.0,road running,Absoluta/General,19,39,Santurtzi,,Bizkaia,,1205569988
buscametas,KZ Krono,2025-05-24,Sábado,0.0,Ciclismo y btt,Absoluta/General,1,6,Santurtzi,,Bizkaia,,1205570688
buscametas,Oposiciones Bomberos Bilbao,2025-05-22,Jueves,0.0,Otros,Absoluta/General,1,2,Bilbao,,Bizkaia,,46
buscametas,Etorki Mendi Trail,2025-05-18,Domingo,0.0,trail running,Absoluta/General,18,182,Getxo,,Bizkaia,,1205392856
buscametas,Etorki Mendi Trail,2025-05-18,Domingo,0.0,trail running,Absoluta/General,114,267,Getxo,,Bizkaia,,1205393727
buscametas,BBK Mendi Martxak - Zeberio,2025-05-18,Domingo,12.0,marcha,Absoluta/General,119,156,Zeberio,,Bizkaia,,1214113980
buscametas,Mitxarro Bira,2025-05-10,Sábado,0.0,marcha,Absoluta/General,45,47,Araia,Arabako lautada,Álava,,1206216697
buscametas,Mitxarro Bira,2025-05-10,Sábado,0.0,marcha,Absoluta/General,56,36,Araia,Arabako lautada,Álava,,1206217357
buscametas,Mitxarro Bira,2025-05-10,Sábado,0.0,trail running,Absoluta/General,8,115,Araia,Arabako lautada,Álava,,1206218711
buscametas,Mitxarro Bira,2025-05-10,Sábado,0.0,trail running,Absoluta/General,34,84,Araia,Arabako lautada,Álava,,1206219295
buscametas,Ugao-Miraballes Herri Krosa,2025-05-04,Domingo,0.0,Otros,Infantil,20,41,Ugao-Miraballes,,Bizkaia,,1204761868
