fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia
cursescat,Tap Trail,2024-11-03,Domingo,21.0,trail running,Absoluta/General,15,69,Cassà de la Selva,Gironès,Girona
cursescat,Tap Trail,2024-11-03,Domingo,16.0,trail running,Absoluta/General,39,64,Cassà de la Selva,Gironès,Girona
cursescat,Tap Trail,2024-11-03,Domingo,12.0,trail running,Absoluta/General,27,52,Cassà de la Selva,Gironès,Girona
cursescat,Trail Solidària Cervià de TEr,2024-11-03,Domingo,12.0,trail running,Absoluta/General,29,63,Cervià de Ter,Gironès,Girona
cursescat,Trail Solidària Cervià de TEr,2024-11-03,Domingo,20.0,trail running,Absoluta/General,11,32,Cervià de Ter,Gironès,Girona
cursescat,BTT Darnius,2024-10-27,Domingo,14.0,Ciclismo y btt,Absoluta/General,6,56,Darnius,Alt Empordà,Girona
cursescat,BTT Darnius,2024-10-27,Domingo,30.0,Ciclismo y btt,Absoluta/General,0,21,Darnius,Alt Empordà,Girona
cursescat,BTT Darnius,2024-10-27,Domingo,42.0,Ciclismo y btt,Absoluta/General,3,34,Darnius,Alt Empordà,Girona
cursescat,La Selvatjada,2024-10-26,Sábado,6.5,trail running,Absoluta/General,51,61,La Selva de Mar,Alt Empordà,Girona
cursescat,La Selvatjada,2024-10-26,Sábado,13.0,trail running,Absoluta/General,23,79,La Selva de Mar,Alt Empordà,Girona
cursescat,Besalucross,2024-10-20,Domingo,17.0,trail running,Absoluta/General,18,78,Besalú,Garrotxa,Girona
cursescat,Besalucross,2024-10-20,Domingo,11.0,trail running,Absoluta/General,40,79,Besalú,Garrotxa,Girona
cursescat,Olla de Tapis,2024-10-13,Domingo,9.0,trail running,Absoluta/General,133,119,Tapis -Maçanet de la Selva,,
cursescat,Olla de Tapis,2024-10-13,Domingo,21.0,trail running,Absoluta/General,21,87,Tapis -Maçanet de la Selva,,
cursescat,Ventallonina 2024,2024-09-22,Domingo,8.0,trail running,Absoluta/General,142,88,Ventalló,Alt Empordà,Girona
cursescat,Ventallonina 2024,2024-09-22,Domingo,13.0,trail running,Absoluta/General,34,76,Ventalló,Alt Empordà,Girona
cursescat,Cursa de la Dona,2024-09-22,Domingo,5.0,road running,Absoluta/General,939,364,Roses,Alt Empordà,Girona
cursescat,Despertaferro,2024-09-11,Miércoles,11.0,marcha,Absoluta/General,44,126,Bàscara,Alt Empordà,Girona
cursescat,Despertaferro,2024-09-11,Miércoles,6.0,marcha,Absoluta/General,121,107,Bàscara,Alt Empordà,Girona
cursescat,Cursa i Caminada Parlem del Suïcidi,2024-09-07,Sábado,6.0,marcha,Absoluta/General,76,64,Avinyonet de Puigventós,Alt Empordà,Girona
cursescat,Cursa i Caminada Parlem del Suïcidi,2024-09-07,Sábado,2.5,marcha,Absoluta/General,9,14,Avinyonet de Puigventós,Alt Empordà,Girona
cursescat,Cursa del Blat de Moro,2024-08-24,Sábado,9.0,marcha,Absoluta/General,61,65,Cabanes,Alt Empordà,Girona
cursescat,Travessies Roses 2024,2024-08-11,Domingo,1.0,Otros,Absoluta/General,58,84,Roses,Alt Empordà,Girona
cursescat,Travessies Roses 2024,2024-08-11,Domingo,2.0,Otros,Absoluta/General,42,87,Roses,Alt Empordà,Girona
cursescat,Cursa Popular Amer,2024-08-11,Domingo,12.0,road running,Absoluta/General,17,66,Amer,la Selva,Girona
cursescat,Cursa Popular Amer,2024-08-11,Domingo,6.0,road running,Absoluta/General,20,47,Amer,la Selva,Girona
cursescat,Nocturna de Vilafant,2024-07-13,Sábado,19.0,road running,Absoluta/General,29,71,Vilafant,Alt Empordà,Girona
cursescat,Barretina Rural 2024,2024-07-06,Sábado,6.0,Otros,Absoluta/General,102,101,Siurana d'Empordà,Alt Empordà,Girona
cursescat,Marxa popular de les Fonts,2024-06-15,Sábado,6.0,marcha,Absoluta/General,23,30,Vilavenut (Fontcoberta),Pla de l'Estany,Girona
cursescat,Entrecastells Nocturna,2024-06-08,Sábado,8.0,trail running,Absoluta/General,80,62,Vilajuiga,Alt Empordà,Girona
cursescat,La Cirera,2024-06-02,Domingo,13.0,trail running,Absoluta/General,127,136,Terrades,Alt Empordà,Girona
cursescat,La Cirera,2024-06-02,Domingo,19.0,trail running,Absoluta/General,17,53,Terrades,Alt Empordà,Girona
cursescat,Marxa Ordis,2024-05-26,Domingo,7.5,marcha,Absoluta/General,111,99,Ordis,Alt Empordà,Girona
cursescat,Marxa Ordis,2024-05-26,Domingo,13.0,marcha,Absoluta/General,64,102,Ordis,Alt Empordà,Girona
cursescat,Terres Blanques,2024-05-26,Domingo,10.0,trail running,Absoluta/General,24,34,Cantallops,Alt Empordà,Girona
cursescat,Terres Blanques,2024-05-26,Domingo,20.0,trail running,Absoluta/General,8,46,Cantallops,Alt Empordà,Girona
cursescat,Marxa dels Dòlmens,2024-05-19,Domingo,10.0,trail running,Absoluta/General,89,97,LA JONQUERA,Alt Empordà,Girona
cursescat,Marxa dels Dòlmens,2024-05-19,Domingo,21.0,trail running,Absoluta/General,6,20,LA JONQUERA,Alt Empordà,Girona
cursescat,Cusa Solidàtia Sant Julià de Ramis 2024,2024-05-05,Domingo,5.0,marcha,Absoluta/General,34,29,Sant Julià de Ramis,Gironès,Girona
