fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,n_enlaces_sexo,tiene_sexo_identificado,candidato_lugar
youevent,Miaccum Night Trail 2025,2025-07-19,Sábado,0.0,trail running,Absoluta/General,0.0,5.0,,,,0,False,Miaccum Night Trail
youevent,Peñalver - MTB Circuito Guadalajara 2025,2025-07-20,Domingo,0.0,Ciclismo y btt,Absoluta/General,2.0,0.0,Molina de Aragón,,Castilla-La Mancha,0,False,Peñalver - MTB Circuito Guadalajara
youevent,XXX Triatlón de Pálmaces,2025-07-26,Sábado,0.0,Multidisciplina,Absoluta/General,0.0,78.0,Pálmaces de Jadraque,,Castilla-La Mancha,2,True,Pálmaces
youevent,Trail Cueto el Oso 2025,2025-07-27,Domingo,0.0,trail running,Absoluta/General,28.0,87.0,El Oso,,Castilla y León,0,False,Cueto el Oso
youevent,XXXVI Travesía de Pálmaces,2025-08-02,Sábado,0.0,road running,Absoluta/General,0.0,114.0,Pálmaces de Jadraque,,Castilla-La Mancha,0,False,Travesía de Pálmaces
youevent,Cronoescalada al Torreón 2025,2025-08-03,Domingo,0.0,road running,Absoluta/General,28.0,70.0,Oliete,Andorra-Sierra de Arcos,Aragón,0,False,Cronoescalada al Torreón
youevent,III Carrera Pedestre Popular - 10K Yanguas,2025-08-10,Domingo,10.0,road running,Absoluta/General,0.0,0.0,Yanguas,,Castilla y León,0,False,10K Yanguas
youevent,VIII Travesía a Nado Los Ángeles de San Rafael,2025-08-15,Viernes,0.0,road running,Absoluta/General,70.0,53.0,El Espinar,,Castilla y León,0,False,Travesía a Nado Los Ángeles de San Rafael
youevent,XXX MARCHA CICLOTURISTA PEDRO DELGADO,2025-08-16,Sábado,0.0,Ciclismo y btt,Absoluta/General,0.0,0.0,La Roda,,Albacete,0,False,MARCHA CICLOTURISTA PEDRO DELGADO
youevent,XXXI Duatlón Villa de Cantimpalos - Memorial Ignacio Matarranz,2025-08-23,Sábado,0.0,Multidisciplina,Absoluta/General,3.0,14.0,,,,0,False,Cantimpalos - Memorial Ignacio Matarranz
youevent,XLVIII Carrera Popular Villa de Cerceda,2025-08-28,Jueves,0.0,road running,Absoluta/General,0.0,0.0,,,,0,False,Cerceda
youevent,VII SIETE PICOS INTEGRAL,2025-08-31,Domingo,0.0,road running,Absoluta/General,10.0,80.0,,,,0,False,SIETE PICOS INTEGRAL
youevent,XLVI MARATÓN POPULAR PEÑA EL BOTIJO,2025-09-04,Jueves,0.0,road running,Absoluta/General,0.0,0.0,Hoyo de Manzanares,,Comunidad de Madrid,0,False,PEÑA EL BOTIJO
youevent,12/24 MTB Challenge Comunidad de Madrid - TODOS 12/24 horas,2025-09-06,Sábado,0.0,Ciclismo y btt,Absoluta/General,0.0,1.0,Priego,,Castilla-La Mancha,0,False,12/24 MTB Challenge Comunidad de Madrid - TODOS 12/24 horas
youevent,LAS INVIERNAS - MTB Circuito Guadalajara 2025,2025-09-07,Domingo,0.0,Ciclismo y btt,Absoluta/General,11.0,0.0,Molina de Aragón,,Castilla-La Mancha,0,False,LAS INVIERNAS - MTB Circuito Guadalajara
youevent,XXXII Pedestre Popular Correbecerril,2025-09-07,Domingo,0.0,road running,Absoluta/General,29.0,46.0,,,,0,False,Correbecerril
youevent,Marcha Nordica Huelva - Campeonato de Clubes 2025,2025-09-13,Sábado,0.0,marcha,Absoluta/General,13.0,1.0,Madrid,,Comunidad de Madrid,2,True,Marcha Nordica Huelva - Campeonato de Clubes
youevent,Aguas Abiertas Lagunas de Ruidera 2025,2025-09-13,Sábado,0.0,road running,Absoluta/General,28.0,0.0,Ruidera,,Ciudad Real,0,False,Aguas Abiertas Lagunas de Ruidera
youevent,IX Years Open,2025-09-13,Sábado,0.0,road running,Absoluta/General,0.0,0.0,,,,6,True,Years Open
youevent,PERALVECHE - MTB Circuito Guadalajara 2025,2025-09-14,Domingo,0.0,Ciclismo y btt,Absoluta/General,6.0,4.0,Molina de Aragón,,Castilla-La Mancha,0,False,PERALVECHE - MTB Circuito Guadalajara
youevent,35ª Cuesta del Tirón San Agustín del Guadalix,2025-09-14,Domingo,0.0,road running,Absoluta/General,1.0,0.0,San Agustín del Guadalix,,Comunidad de Madrid,0,False,Cuesta del Tirón San Agustín del Guadalix
youevent,MUEVETE EN FAMILIA. SOY DEPORTE SOY FAMILIA SOY CHAMBERÍ 2025,2025-09-20,Sábado,0.0,road running,Absoluta/General,,,Madrid,,Comunidad de Madrid,0,False,MUEVETE EN FAMILIA. SOY DEPORTE SOY FAMILIA SOY CHAMBERÍ
