fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad,comunidad_autonoma
mychip,"La Conquesta del Castell, Trofeu Filaes, Alcoi",2016-03-24,Jueves,2.0,Otros,Absoluta/General,0,51,Alcoy,La Hoya de Alcoy,Alicante,0,578,Modalidad 2000,Comunidad Valenciana
mychip,III Trail Rótova,2016-03-13,Domingo,15.0,Otros,Absoluta/General,22,123,Rótova,La Safor,Valencia,0,483,001_ TRAIL,Comunidad Valenciana
mychip,III Trail Rótova,2016-03-13,Domingo,11.5,Otros,Absoluta/General,47,31,Rótova,La Safor,Valencia,0,483,002_MARCHA,Comunidad Valenciana
mychip,"X Mabo, 2016",2016-03-13,Domingo,0.0,road running,Absoluta/General,37,318,Borriol,Plana Alta,Castellón,0,505,default,Comunidad Valenciana
mychip,Tomaca Trail 2016,2016-03-13,Domingo,10.0,Otros,Absoluta/General,110,172,Alginet,La Ribera Alta,Valencia,0,547,002_10K,Comunidad Valenciana
mychip,Tomaca Trail 2016,2016-03-13,Domingo,21.0,Otros,Absoluta/General,15,104,Alginet,La Ribera Alta,Valencia,0,547,001_21K,Comunidad Valenciana
mychip,Perimetral a Benissa,2016-03-12,Sábado,42.0,Otros,Absoluta/General,13,163,Benisa,La Marina Alta,Alicante,0,507,002_MARATON,Comunidad Valenciana
mychip,Perimetral a Benissa,2016-03-12,Sábado,84.0,Otros,Absoluta/General,5,73,Benisa,La Marina Alta,Alicante,0,507,001_ULTRA,Comunidad Valenciana
mychip,"Inov8 Vertical MABO, Campionat Absolut Cursa Vertical, FEMECV",2016-03-12,Sábado,1.4,Otros,Absoluta/General,26,53,Borriol,Plana Alta,Castellón,0,515,Modalidad 1400,Comunidad Valenciana
mychip,II Marató de la Calderona,2016-03-06,Domingo,31.0,Otros,Absoluta/General,14,199,Serra,El Campo de Turia,Valencia,0,450,MARATON,Comunidad Valenciana
mychip,II Marató de la Calderona,2016-03-06,Domingo,21.0,Otros,Absoluta/General,24,155,Serra,El Campo de Turia,Valencia,0,450,MEDIA,Comunidad Valenciana
mychip,"VI MIMAMUCA, II MAMUCA",2016-03-06,Domingo,21.0,Otros,Absoluta/General,83,331,Carrícola,La Vall d'Albaida,Valencia,0,508,MIMAMUCA,Comunidad Valenciana
mychip,"VI MIMAMUCA, II MAMUCA",2016-03-06,Domingo,42.0,Otros,Absoluta/General,10,203,Carrícola,La Vall d'Albaida,Valencia,0,508,MAMUCA,Comunidad Valenciana
