ciutat,comarca_regio,coord_1,coord_2,data,distancia_m,en_meta,en_meta_d,en_meta_h,en_meta_other,esport,estat_cursa,event_numeric_id,event_slug,event_url,inscrits_d,inscrits_h,inscrits_other,modalitat_id,modalitat_nom,no_presentats,no_presentats_d,no_presentats_h,no_presentats_other,nom_cursa,pais,provincia_estat,retirats,retirats_d,retirats_h,retirats_other,sortida_donada,sortida_donada_d,sortida_donada_h,sortida_donada_other,total_inscrits
Alcoy/alcoi,,38.7088789,-0.4645454,2026-05-22T00:00:00Z,1560,,0,0,,running,finished_official,3361,viii-milla-solidaria-esclaves-scj-fundacion-nirvel,https://www.mychip.es/e/viii-milla-solidaria-esclaves-scj-fundacion-nirvel,62,26,,69a8755f856d471d83b8c797,Caminata,88,0,0,,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",Spain,Valencian Community,,0,0,,88,0,0,,88
Alcoy/alcoi,,38.7088789,-0.4645454,2026-05-22T00:00:00Z,,,0,0,0,running,finished_official,3361,viii-milla-solidaria-esclaves-scj-fundacion-nirvel,https://www.mychip.es/e/viii-milla-solidaria-esclaves-scj-fundacion-nirvel,94,148,2,69a8755f856d471d83b8c798,Menores,244,0,0,0,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",Spain,Valencian Community,,0,0,0,244,0,0,0,244
Alcoy/alcoi,,38.7088789,-0.4645454,2026-05-22T00:00:00Z,,,0,0,0,running,finished_official,3361,viii-milla-solidaria-esclaves-scj-fundacion-nirvel,https://www.mychip.es/e/viii-milla-solidaria-esclaves-scj-fundacion-nirvel,0,0,20,69a87560856d471d83b8c799,dorsal 0,20,0,0,0,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",Spain,Valencian Community,,0,0,0,20,0,0,0,20
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,25980,70,17,53,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,18,62,,695a20415bb57c34efff5338,Absoluta 21k FEMECV,7,0,7,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,3,1,2,,73,18,55,,80
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,9380,5,2,3,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,2,4,,695a20425bb57c34efff5339,Júnior FEMECV,1,0,1,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,,0,0,,5,2,3,,6
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,9380,6,4,2,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,4,2,,695a20425bb57c34efff533a,Juvenil FEMECV,0,0,0,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,,0,0,,6,4,2,,6
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,9380,9,5,4,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,5,4,,695a20435bb57c34efff533b,Cadete FEMECV,0,0,0,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,,0,0,,9,5,4,,9
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,5100,10,5,5,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,5,5,,695a20445bb57c34efff533c,Infantil FEMECV,0,0,0,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,,0,0,,10,5,5,,10
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,25980,,0,0,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,0,0,,695a20445bb57c34efff533d,"Invidentes, FEMECV",0,0,0,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,,0,0,,0,0,0,,0
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,25980,15,2,13,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,2,16,,69c3c5f76aa7e17ede279351,Open 26k,2,0,2,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,,0,0,,16,2,14,,18
Bolulla,la Marina Baixa,38.6766054,-0.1116663,2026-05-17T00:00:00Z,14430,73,25,48,,trail_running,finished_official,3346,campionat-autonomic-de-cxm-femecv-2026-bolulla,https://www.mychip.es/e/campionat-autonomic-de-cxm-femecv-2026-bolulla,28,49,,69c3c5f86aa7e17ede279352,Open 14k,4,3,1,,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",España,Comunitat Valenciana,,0,0,,73,25,48,,77
Confrides,la Marina Baixa,38.6832496,-0.2685312,2026-05-09T00:00:00Z,32000,125,14,111,,trail_running,finished_official,3280,trail-de-primavera-confrides-ctm-2526,https://www.mychip.es/e/trail-de-primavera-confrides-ctm-2526,16,125,,68791cbc02641fa5cc1b6cf9,43k,8,2,6,,"Trail de Primavera, Confrides, CTM 25/26",España,Comunitat Valenciana,8,0,8,,133,14,119,,141
Confrides,la Marina Baixa,38.6832496,-0.2685312,2026-05-09T00:00:00Z,21000,270,59,211,,trail_running,finished_official,3280,trail-de-primavera-confrides-ctm-2526,https://www.mychip.es/e/trail-de-primavera-confrides-ctm-2526,83,271,,68791cbd02641fa5cc1b6cfa,"24k, Mitjes CTM",66,22,44,,"Trail de Primavera, Confrides, CTM 25/26",España,Comunitat Valenciana,18,2,16,,288,61,227,,354
Santa Pola,,38.1967392,-0.5611261,2026-05-09T00:00:00Z,13560,69,30,39,,walking,finished_official,3365,campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,https://www.mychip.es/e/campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,41,56,,69c29ea16efd2702951e449c,Absoluta  FEMECV,16,7,9,,"Campeonato Autonómico Individual y Clubs de Marcha Nórdica FEMECV 2026, Santa Pola",Spain,Valencian Community,12,4,8,,81,34,47,,97
Santa Pola,,38.1967392,-0.5611261,2026-05-09T00:00:00Z,7980,3,0,3,,walking,finished_official,3365,campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,https://www.mychip.es/e/campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,2,5,,69c29ea16efd2702951e449d,Infantil FEMECV,4,2,2,,"Campeonato Autonómico Individual y Clubs de Marcha Nórdica FEMECV 2026, Santa Pola",Spain,Valencian Community,,0,0,,3,0,3,,7
Santa Pola,,38.1967392,-0.5611261,2026-05-09T00:00:00Z,7980,3,2,1,,walking,finished_official,3365,campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,https://www.mychip.es/e/campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,2,1,,69c29ea26efd2702951e449e,Cadete FEMECV,0,0,0,,"Campeonato Autonómico Individual y Clubs de Marcha Nórdica FEMECV 2026, Santa Pola",Spain,Valencian Community,,0,0,,3,2,1,,3
Santa Pola,,38.1967392,-0.5611261,2026-05-09T00:00:00Z,5100,1,1,0,,walking,finished_official,3365,campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,https://www.mychip.es/e/campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,3,1,,69c29ea36efd2702951e449f,Alevín FEMECV,3,2,1,,"Campeonato Autonómico Individual y Clubs de Marcha Nórdica FEMECV 2026, Santa Pola",Spain,Valencian Community,,0,0,,1,1,0,,4
Santa Pola,,38.1967392,-0.5611261,2026-05-09T00:00:00Z,1200,,0,0,,walking,finished_official,3365,campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,https://www.mychip.es/e/campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,0,0,,69c29ea46efd2702951e44a0,Benjamín FEMECV,0,0,0,,"Campeonato Autonómico Individual y Clubs de Marcha Nórdica FEMECV 2026, Santa Pola",Spain,Valencian Community,,0,0,,0,0,0,,0
Santa Pola,,38.1967392,-0.5611261,2026-05-09T00:00:00Z,1200,,0,0,,walking,finished_official,3365,campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,https://www.mychip.es/e/campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,0,0,,69c29ea46efd2702951e44a1,Prebenjamín  FEMECV,0,0,0,,"Campeonato Autonómico Individual y Clubs de Marcha Nórdica FEMECV 2026, Santa Pola",Spain,Valencian Community,,0,0,,0,0,0,,0
Santa Pola,,38.1967392,-0.5611261,2026-05-09T00:00:00Z,10770,5,2,3,,walking,finished_official,3365,campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,https://www.mychip.es/e/campeonato-autonomico-individual-y-clubs-de-marcha-nordica-femecv-2026-anta-pola,11,12,,69c29ea56efd2702951e44a2,Promo,15,9,6,,"Campeonato Autonómico Individual y Clubs de Marcha Nórdica FEMECV 2026, Santa Pola",Spain,Valencian Community,3,0,3,,8,2,6,,23
Alcoi / Alcoy,l'Alcoià,38.6823494,-0.4934306,2026-05-09T00:00:00Z,,,0,0,,climbing,finished_official,3369,2-prueba-de-liga-infantil-de-escalada-jocs-esportius-femecv-2026,https://www.mychip.es/e/2-prueba-de-liga-infantil-de-escalada-jocs-esportius-femecv-2026,32,31,,69cf529423d9d8ae4f4a99df,LIE,63,0,0,,2ª Prueba de Liga Infantil de Escalada - Jocs Esportius FEMECV 2026,España,Comunitat Valenciana,,0,0,,63,0,0,,63
Alcoi / Alcoy,l'Alcoià,38.6823494,-0.4934306,2026-05-09T00:00:00Z,,,0,0,,climbing,finished_official,3370,2-prueba-de-copa-de-escalada-en-bloque-femecv-2026,https://www.mychip.es/e/2-prueba-de-copa-de-escalada-en-bloque-femecv-2026,16,21,,69cf52947bcf0440815a04bf,Copa Bloque,37,0,0,,2ª Prueba de Copa de Escalada en Bloque FEMECV 2026,España,Comunitat Valenciana,,0,0,,37,0,0,,37
Alcoi / Alcoy,l'Alcoià,38.6823494,-0.4934306,2026-05-09T00:00:00Z,,,0,0,,climbing,finished_official,3371,2-copa-de-escalada-jocs-esportius-femecv-2026,https://www.mychip.es/e/2-copa-de-escalada-jocs-esportius-femecv-2026,18,27,,69cf529453ad835dcfd94dc2,Copa Escalada,45,0,0,,2ª Copa de Escalada Jocs Esportius FEMECV 2026,España,Comunitat Valenciana,,0,0,,45,0,0,,45
Montitxelvo/montichelvo,,38.8910001,-0.3391361,2026-05-01T00:00:00Z,18600,351,75,276,,trail_running,finished_official,3360,viii-gran-fons-penyes-albes-montitxelvo-2026,https://www.mychip.es/e/viii-gran-fons-penyes-albes-montitxelvo-2026,92,321,,699d409eab54cd1d96248b66,Trail,60,16,44,,"IX GRAN FONS PENYES ALBES, MONTITXELVO - 2026",Spain,Valencian Community,2,1,1,,353,76,277,,413
